ExperimentalSeed,Round,Slot,ClientID,ExecutionOrderRule
42,7,3,4,SLOT_ASCENDING
42,7,4,5,SLOT_ASCENDING
42,7,5,15,SLOT_ASCENDING
42,7,6,25,SLOT_ASCENDING
42,7,7,12,SLOT_ASCENDING
42,7,8,20,SLOT_ASCENDING
42,7,9,0,SLOT_ASCENDING
42,8,1,6,SLOT_ASCENDING
42,8,2,25,SLOT_ASCENDING
42,8,3,28,SLOT_ASCENDING
42,8,4,14,SLOT_ASCENDING
42,8,5,9,SLOT_ASCENDING
42,8,6,17,SLOT_ASCENDING
42,8,7,23,SLOT_ASCENDING
42,8,8,19,SLOT_ASCENDING
42,8,9,24,SLOT_ASCENDING
42,9,1,26,SLOT_ASCENDING
42,9,2,8,SLOT_ASCENDING
42,9,3,4,SLOT_ASCENDING
42,9,4,5,SLOT_ASCENDING
42,9,5,29,SLOT_ASCENDING
42,9,6,22,SLOT_ASCENDING
42,9,7,2,SLOT_ASCENDING
42,9,8,7,SLOT_ASCENDING
42,9,9,3,SLOT_ASCENDING
42,10,1,18,SLOT_ASCENDING
42,10,2,10,SLOT_ASCENDING
42,10,3,27,SLOT_ASCENDING
42,10,4,13,SLOT_ASCENDING
42,10,5,11,SLOT_ASCENDING
42,10,6,16,SLOT_ASCENDING
42,10,7,1,SLOT_ASCENDING
42,10,8,15,SLOT_ASCENDING
42,10,9,21,SLOT_ASCENDING
42,11,1,21,SLOT_ASCENDING
42,11,2,0,SLOT_ASCENDING
42,11,3,6,SLOT_ASCENDING
42,11,4,12,SLOT_ASCENDING
42,11,5,1,SLOT_ASCENDING
42,11,6,25,SLOT_ASCENDING
42,11,7,9,SLOT_ASCENDING
42,11,8,13,SLOT_ASCENDING
42,11,9,24,SLOT_ASCENDING
42,12,1,3,SLOT_ASCENDING
42,12,2,16,SLOT_ASCENDING
42,12,3,18,SLOT_ASCENDING
42,12,4,17,SLOT_ASCENDING
42,12,5,19,SLOT_ASCENDING
42,12,6,23,SLOT_ASCENDING
42,12,7,7,SLOT_ASCENDING
42,12,8,2,SLOT_ASCENDING
42,12,9,29,SLOT_ASCENDING
42,13,1,8,SLOT_ASCENDING
42,13,2,15,SLOT_ASCENDING
42,13,3,20,SLOT_ASCENDING
42,13,4,5,SLOT_ASCENDING
42,13,5,10,SLOT_ASCENDING
42,13,6,14,SLOT_ASCENDING
42,13,7,22,SLOT_ASCENDING
42,13,8,28,SLOT_ASCENDING
42,13,9,27,SLOT_ASCENDING
42,14,1,26,SLOT_ASCENDING
42,14,2,11,SLOT_ASCENDING
42,14,3,4,SLOT_ASCENDING
42,14,4,29,SLOT_ASCENDING
42,14,5,19,SLOT_ASCENDING
42,14,6,2,SLOT_ASCENDING
42,14,7,12,SLOT_ASCENDING
42,14,8,8,SLOT_ASCENDING
42,14,9,14,SLOT_ASCENDING
42,15,1,6,SLOT_ASCENDING
42,15,2,18,SLOT_ASCENDING
42,15,3,9,SLOT_ASCENDING
42,15,4,13,SLOT_ASCENDING
42,15,5,4,SLOT_ASCENDING
42,15,6,21,SLOT_ASCENDING
42,15,7,3,SLOT_ASCENDING
42,15,8,24,SLOT_ASCENDING
42,15,9,0,SLOT_ASCENDING
42,16,1,10,SLOT_ASCENDING
42,16,2,11,SLOT_ASCENDING
42,16,3,16,SLOT_ASCENDING
42,16,4,5,SLOT_ASCENDING
42,16,5,25,SLOT_ASCENDING
42,16,6,17,SLOT_ASCENDING
42,16,7,7,SLOT_ASCENDING
42,16,8,28,SLOT_ASCENDING
42,16,9,27,SLOT_ASCENDING
42,17,1,1,SLOT_ASCENDING
42,17,2,26,SLOT_ASCENDING
42,17,3,22,SLOT_ASCENDING
42,17,4,23,SLOT_ASCENDING
42,17,5,15,SLOT_ASCENDING
42,17,6,20,SLOT_ASCENDING
42,17,7,5,SLOT_ASCENDING
42,17,8,3,SLOT_ASCENDING
42,17,9,24,SLOT_ASCENDING
42,18,1,26,SLOT_ASCENDING
42,18,2,4,SLOT_ASCENDING
42,18,3,17,SLOT_ASCENDING
42,18,4,14,SLOT_ASCENDING
42,18,5,29,SLOT_ASCENDING
42,18,6,28,SLOT_ASCENDING
42,18,7,2,SLOT_ASCENDING
42,18,8,12,SLOT_ASCENDING
42,18,9,13,SLOT_ASCENDING
42,19,1,7,SLOT_ASCENDING
42,19,2,15,SLOT_ASCENDING
42,19,3,20,SLOT_ASCENDING
42,19,4,16,SLOT_ASCENDING
42,19,5,23,SLOT_ASCENDING
42,19,6,27,SLOT_ASCENDING
42,19,7,22,SLOT_ASCENDING
42,19,8,9,SLOT_ASCENDING
42,19,9,1,SLOT_ASCENDING
42,20,1,6,SLOT_ASCENDING
42,20,2,11,SLOT_ASCENDING
42,20,3,21,SLOT_ASCENDING
42,20,4,10,SLOT_ASCENDING
42,20,5,25,SLOT_ASCENDING
42,20,6,19,SLOT_ASCENDING
42,20,7,0,SLOT_ASCENDING
42,20,8,18,SLOT_ASCENDING
42,20,9,8,SLOT_ASCENDING
123,1,1,4,SLOT_ASCENDING
123,1,2,27,SLOT_ASCENDING
123,1,3,29,SLOT_ASCENDING
123,1,4,10,SLOT_ASCENDING
123,1,5,3,SLOT_ASCENDING
123,1,6,21,SLOT_ASCENDING
123,1,7,14,SLOT_ASCENDING
123,1,8,18,SLOT_ASCENDING
123,1,9,12,SLOT_ASCENDING
123,2,1,15,SLOT_ASCENDING
123,2,2,11,SLOT_ASCENDING
123,2,3,28,SLOT_ASCENDING
123,2,4,0,SLOT_ASCENDING
123,2,5,17,SLOT_ASCENDING
123,2,6,24,SLOT_ASCENDING
123,2,7,13,SLOT_ASCENDING
123,2,8,16,SLOT_ASCENDING
123,2,9,2,SLOT_ASCENDING
123,3,1,19,SLOT_ASCENDING
123,3,2,9,SLOT_ASCENDING
123,3,3,5,SLOT_ASCENDING
123,3,4,1,SLOT_ASCENDING
123,3,5,7,SLOT_ASCENDING
123,3,6,22,SLOT_ASCENDING
123,3,7,20,SLOT_ASCENDING
123,3,8,25,SLOT_ASCENDING
123,3,9,6,SLOT_ASCENDING
123,4,1,23,SLOT_ASCENDING
123,4,2,26,SLOT_ASCENDING
123,4,3,8,SLOT_ASCENDING
123,4,4,14,SLOT_ASCENDING
123,4,5,25,SLOT_ASCENDING
123,4,6,3,SLOT_ASCENDING
123,4,7,13,SLOT_ASCENDING
123,4,8,22,SLOT_ASCENDING
123,4,9,29,SLOT_ASCENDING
123,5,1,24,SLOT_ASCENDING
123,5,2,26,SLOT_ASCENDING
123,5,3,27,SLOT_ASCENDING
123,5,4,9,SLOT_ASCENDING
123,5,5,19,SLOT_ASCENDING
123,5,6,16,SLOT_ASCENDING
123,5,7,10,SLOT_ASCENDING
123,5,8,18,SLOT_ASCENDING
123,5,9,0,SLOT_ASCENDING
123,6,1,12,SLOT_ASCENDING
123,6,2,11,SLOT_ASCENDING
123,6,3,15,SLOT_ASCENDING
123,6,4,17,SLOT_ASCENDING
123,6,5,28,SLOT_ASCENDING
123,6,6,6,SLOT_ASCENDING
123,6,7,1,SLOT_ASCENDING
123,6,8,2,SLOT_ASCENDING
123,6,9,7,SLOT_ASCENDING
123,7,1,20,SLOT_ASCENDING
123,7,2,5,SLOT_ASCENDING
123,7,3,23,SLOT_ASCENDING
123,7,4,4,SLOT_ASCENDING
123,7,5,21,SLOT_ASCENDING
123,7,6,8,SLOT_ASCENDING
123,7,7,15,SLOT_ASCENDING
123,7,8,24,SLOT_ASCENDING
123,7,9,16,SLOT_ASCENDING
123,8,1,7,SLOT_ASCENDING
123,8,2,5,SLOT_ASCENDING
123,8,3,6,SLOT_ASCENDING
123,8,4,23,SLOT_ASCENDING
123,8,5,29,SLOT_ASCENDING
123,8,6,11,SLOT_ASCENDING
123,8,7,1,SLOT_ASCENDING
123,8,8,3,SLOT_ASCENDING
123,8,9,10,SLOT_ASCENDING
123,9,1,12,SLOT_ASCENDING
123,9,2,27,SLOT_ASCENDING
123,9,3,0,SLOT_ASCENDING
123,9,4,21,SLOT_ASCENDING
123,9,5,18,SLOT_ASCENDING
123,9,6,4,SLOT_ASCENDING
123,9,7,20,SLOT_ASCENDING
123,9,8,17,SLOT_ASCENDING
123,9,9,13,SLOT_ASCENDING
123,10,1,2,SLOT_ASCENDING
123,10,2,25,SLOT_ASCENDING
123,10,3,8,SLOT_ASCENDING
123,10,4,26,SLOT_ASCENDING
123,10,5,9,SLOT_ASCENDING
123,10,6,22,SLOT_ASCENDING
123,10,7,19,SLOT_ASCENDING
123,10,8,14,SLOT_ASCENDING
123,10,9,28,SLOT_ASCENDING
123,11,1,7,SLOT_ASCENDING
123,11,2,22,SLOT_ASCENDING
123,11,3,3,SLOT_ASCENDING
123,11,4,13,SLOT_ASCENDING
123,11,5,4,SLOT_ASCENDING
123,11,6,18,SLOT_ASCENDING
123,11,7,15,SLOT_ASCENDING
123,11,8,0,SLOT_ASCENDING
123,11,9,28,SLOT_ASCENDING
123,12,1,21,SLOT_ASCENDING
123,12,2,24,SLOT_ASCENDING
123,12,3,11,SLOT_ASCENDING
123,12,4,23,SLOT_ASCENDING
123,12,5,16,SLOT_ASCENDING
123,12,6,9,SLOT_ASCENDING
123,12,7,25,SLOT_ASCENDING
123,12,8,2,SLOT_ASCENDING
123,12,9,17,SLOT_ASCENDING
123,13,1,14,SLOT_ASCENDING
123,13,2,12,SLOT_ASCENDING
123,13,3,8,SLOT_ASCENDING
123,13,4,6,SLOT_ASCENDING
123,13,5,1,SLOT_ASCENDING
123,13,6,29,SLOT_ASCENDING
123,13,7,27,SLOT_ASCENDING
123,13,8,20,SLOT_ASCENDING
123,13,9,5,SLOT_ASCENDING
123,14,1,19,SLOT_ASCENDING
123,14,2,26,SLOT_ASCENDING
123,14,3,10,SLOT_ASCENDING
123,14,4,23,SLOT_ASCENDING
123,14,5,20,SLOT_ASCENDING
123,14,6,7,SLOT_ASCENDING
123,14,7,3,SLOT_ASCENDING
123,14,8,0,SLOT_ASCENDING
123,14,9,29,SLOT_ASCENDING
123,15,1,24,SLOT_ASCENDING
123,15,2,8,SLOT_ASCENDING
123,15,3,17,SLOT_ASCENDING
123,15,4,11,SLOT_ASCENDING
123,15,5,27,SLOT_ASCENDING
123,15,6,1,SLOT_ASCENDING
123,15,7,6,SLOT_ASCENDING
123,15,8,18,SLOT_ASCENDING
123,15,9,19,SLOT_ASCENDING
123,16,1,10,SLOT_ASCENDING
123,16,2,28,SLOT_ASCENDING
123,16,3,14,SLOT_ASCENDING
123,16,4,22,SLOT_ASCENDING
123,16,5,15,SLOT_ASCENDING
123,16,6,4,SLOT_ASCENDING
123,16,7,12,SLOT_ASCENDING
123,16,8,9,SLOT_ASCENDING
123,16,9,16,SLOT_ASCENDING
123,17,1,21,SLOT_ASCENDING
123,17,2,5,SLOT_ASCENDING
123,17,3,26,SLOT_ASCENDING
123,17,4,2,SLOT_ASCENDING
123,17,5,25,SLOT_ASCENDING
123,17,6,13,SLOT_ASCENDING
123,17,7,7,SLOT_ASCENDING
123,17,8,22,SLOT_ASCENDING
123,17,9,12,SLOT_ASCENDING
123,18,1,20,SLOT_ASCENDING
123,18,2,19,SLOT_ASCENDING
123,18,3,2,SLOT_ASCENDING
123,18,4,4,SLOT_ASCENDING
123,18,5,3,SLOT_ASCENDING
123,18,6,26,SLOT_ASCENDING
123,18,7,0,SLOT_ASCENDING
123,18,8,9,SLOT_ASCENDING
123,18,9,17,SLOT_ASCENDING
123,19,1,14,SLOT_ASCENDING
123,19,2,11,SLOT_ASCENDING
123,19,3,24,SLOT_ASCENDING
123,19,4,27,SLOT_ASCENDING
123,19,5,29,SLOT_ASCENDING
123,19,6,10,SLOT_ASCENDING
123,19,7,8,SLOT_ASCENDING
123,19,8,23,SLOT_ASCENDING
123,19,9,5,SLOT_ASCENDING
123,20,1,1,SLOT_ASCENDING
123,20,2,16,SLOT_ASCENDING
123,20,3,6,SLOT_ASCENDING
123,20,4,18,SLOT_ASCENDING
123,20,5,25,SLOT_ASCENDING
123,20,6,15,SLOT_ASCENDING
123,20,7,28,SLOT_ASCENDING
123,20,8,13,SLOT_ASCENDING
123,20,9,21,SLOT_ASCENDING
456,1,1,23,SLOT_ASCENDING
456,1,2,24,SLOT_ASCENDING
456,1,3,2,SLOT_ASCENDING
456,1,4,13,SLOT_ASCENDING
456,1,5,28,SLOT_ASCENDING
456,1,6,9,SLOT_ASCENDING
456,1,7,16,SLOT_ASCENDING
456,1,8,12,SLOT_ASCENDING
456,1,9,19,SLOT_ASCENDING
456,2,1,6,SLOT_ASCENDING
456,2,2,27,SLOT_ASCENDING
456,2,3,11,SLOT_ASCENDING
456,2,4,20,SLOT_ASCENDING
456,2,5,21,SLOT_ASCENDING
456,2,6,29,SLOT_ASCENDING
456,2,7,25,SLOT_ASCENDING
456,2,8,4,SLOT_ASCENDING
456,2,9,0,SLOT_ASCENDING
456,3,1,26,SLOT_ASCENDING
456,3,2,10,SLOT_ASCENDING
456,3,3,14,SLOT_ASCENDING
456,3,4,18,SLOT_ASCENDING
456,3,5,22,SLOT_ASCENDING
456,3,6,15,SLOT_ASCENDING
456,3,7,3,SLOT_ASCENDING
456,3,8,1,SLOT_ASCENDING
456,3,9,5,SLOT_ASCENDING
456,4,1,17,SLOT_ASCENDING
456,4,2,8,SLOT_ASCENDING
456,4,3,7,SLOT_ASCENDING
456,4,4,29,SLOT_ASCENDING
456,4,5,3,SLOT_ASCENDING
456,4,6,13,SLOT_ASCENDING
456,4,7,12,SLOT_ASCENDING
456,4,8,11,SLOT_ASCENDING
456,4,9,18,SLOT_ASCENDING
456,5,1,6,SLOT_ASCENDING
456,5,2,15,SLOT_ASCENDING
456,5,3,1,SLOT_ASCENDING
456,5,4,16,SLOT_ASCENDING
456,5,5,23,SLOT_ASCENDING
456,5,6,20,SLOT_ASCENDING
456,5,7,2,SLOT_ASCENDING
456,5,8,19,SLOT_ASCENDING
456,5,9,5,SLOT_ASCENDING
456,6,1,7,SLOT_ASCENDING
456,6,2,24,SLOT_ASCENDING
456,6,3,28,SLOT_ASCENDING
456,6,4,17,SLOT_ASCENDING
456,6,5,8,SLOT_ASCENDING
456,6,6,26,SLOT_ASCENDING
456,6,7,0,SLOT_ASCENDING
456,6,8,22,SLOT_ASCENDING
456,6,9,9,SLOT_ASCENDING
456,7,1,10,SLOT_ASCENDING
456,7,2,25,SLOT_ASCENDING
456,7,3,14,SLOT_ASCENDING
456,7,4,27,SLOT_ASCENDING
456,7,5,4,SLOT_ASCENDING
456,7,6,21,SLOT_ASCENDING
456,7,7,23,SLOT_ASCENDING
456,7,8,11,SLOT_ASCENDING
456,7,9,3,SLOT_ASCENDING
456,8,1,21,SLOT_ASCENDING
456,8,2,22,SLOT_ASCENDING
456,8,3,28,SLOT_ASCENDING
456,8,4,20,SLOT_ASCENDING
456,8,5,19,SLOT_ASCENDING
456,8,6,15,SLOT_ASCENDING
456,8,7,0,SLOT_ASCENDING
456,8,8,9,SLOT_ASCENDING
456,8,9,29,SLOT_ASCENDING
456,9,1,10,SLOT_ASCENDING
456,9,2,6,SLOT_ASCENDING
456,9,3,24,SLOT_ASCENDING
456,9,4,1,SLOT_ASCENDING
456,9,5,13,SLOT_ASCENDING
456,9,6,25,SLOT_ASCENDING
456,9,7,7,SLOT_ASCENDING
456,9,8,2,SLOT_ASCENDING
456,9,9,14,SLOT_ASCENDING
456,10,1,16,SLOT_ASCENDING
456,10,2,18,SLOT_ASCENDING
456,10,3,27,SLOT_ASCENDING
456,10,4,8,SLOT_ASCENDING
456,10,5,12,SLOT_ASCENDING
456,10,6,26,SLOT_ASCENDING
456,10,7,5,SLOT_ASCENDING
456,10,8,4,SLOT_ASCENDING
456,10,9,17,SLOT_ASCENDING
456,11,1,8,SLOT_ASCENDING
456,11,2,13,SLOT_ASCENDING
456,11,3,29,SLOT_ASCENDING
456,11,4,1,SLOT_ASCENDING
456,11,5,4,SLOT_ASCENDING
456,11,6,27,SLOT_ASCENDING
456,11,7,12,SLOT_ASCENDING
456,11,8,5,SLOT_ASCENDING
456,11,9,10,SLOT_ASCENDING
456,12,1,2,SLOT_ASCENDING
456,12,2,28,SLOT_ASCENDING
456,12,3,11,SLOT_ASCENDING
456,12,4,22,SLOT_ASCENDING
456,12,5,24,SLOT_ASCENDING
456,12,6,26,SLOT_ASCENDING
456,12,7,9,SLOT_ASCENDING
456,12,8,25,SLOT_ASCENDING
456,12,9,15,SLOT_ASCENDING
456,13,1,0,SLOT_ASCENDING
456,13,2,14,SLOT_ASCENDING
456,13,3,19,SLOT_ASCENDING
456,13,4,6,SLOT_ASCENDING
456,13,5,18,SLOT_ASCENDING
456,13,6,20,SLOT_ASCENDING
456,13,7,3,SLOT_ASCENDING
456,13,8,17,SLOT_ASCENDING
456,13,9,23,SLOT_ASCENDING
456,14,1,7,SLOT_ASCENDING
456,14,2,16,SLOT_ASCENDING
456,14,3,21,SLOT_ASCENDING
456,14,4,28,SLOT_ASCENDING
456,14,5,10,SLOT_ASCENDING
456,14,6,25,SLOT_ASCENDING
456,14,7,19,SLOT_ASCENDING
456,14,8,1,SLOT_ASCENDING
456,14,9,0,SLOT_ASCENDING
456,15,1,21,SLOT_ASCENDING
456,15,2,5,SLOT_ASCENDING
456,15,3,4,SLOT_ASCENDING
456,15,4,20,SLOT_ASCENDING
456,15,5,15,SLOT_ASCENDING
456,15,6,2,SLOT_ASCENDING
456,15,7,3,SLOT_ASCENDING
456,15,8,24,SLOT_ASCENDING
456,15,9,7,SLOT_ASCENDING
456,16,1,22,SLOT_ASCENDING
456,16,2,17,SLOT_ASCENDING
456,16,3,18,SLOT_ASCENDING
456,16,4,13,SLOT_ASCENDING
456,16,5,27,SLOT_ASCENDING
456,16,6,14,SLOT_ASCENDING
456,16,7,12,SLOT_ASCENDING
456,16,8,16,SLOT_ASCENDING
456,16,9,26,SLOT_ASCENDING
456,17,1,11,SLOT_ASCENDING
456,17,2,6,SLOT_ASCENDING
456,17,3,8,SLOT_ASCENDING
456,17,4,9,SLOT_ASCENDING
456,17,5,23,SLOT_ASCENDING
456,17,6,29,SLOT_ASCENDING
456,17,7,10,SLOT_ASCENDING
456,17,8,0,SLOT_ASCENDING
456,17,9,22,SLOT_ASCENDING
456,18,1,3,SLOT_ASCENDING
456,18,2,27,SLOT_ASCENDING
456,18,3,9,SLOT_ASCENDING
456,18,4,13,SLOT_ASCENDING
456,18,5,19,SLOT_ASCENDING
456,18,6,15,SLOT_ASCENDING
456,18,7,1,SLOT_ASCENDING
456,18,8,20,SLOT_ASCENDING
456,18,9,21,SLOT_ASCENDING
456,19,1,17,SLOT_ASCENDING
456,19,2,8,SLOT_ASCENDING
456,19,3,11,SLOT_ASCENDING
456,19,4,16,SLOT_ASCENDING
456,19,5,2,SLOT_ASCENDING
456,19,6,26,SLOT_ASCENDING
456,19,7,24,SLOT_ASCENDING
456,19,8,6,SLOT_ASCENDING
456,19,9,4,SLOT_ASCENDING
456,20,1,5,SLOT_ASCENDING
456,20,2,23,SLOT_ASCENDING
456,20,3,28,SLOT_ASCENDING
456,20,4,7,SLOT_ASCENDING
456,20,5,14,SLOT_ASCENDING
456,20,6,18,SLOT_ASCENDING
456,20,7,12,SLOT_ASCENDING
456,20,8,29,SLOT_ASCENDING
456,20,9,25,SLOT_ASCENDING
789,1,1,20,SLOT_ASCENDING
789,1,2,10,SLOT_ASCENDING
789,1,3,9,SLOT_ASCENDING
789,1,4,12,SLOT_ASCENDING
789,1,5,13,SLOT_ASCENDING
789,1,6,11,SLOT_ASCENDING
789,1,7,15,SLOT_ASCENDING
789,1,8,3,SLOT_ASCENDING
789,1,9,2,SLOT_ASCENDING
789,2,1,24,SLOT_ASCENDING
789,2,2,28,SLOT_ASCENDING
789,2,3,4,SLOT_ASCENDING
789,2,4,0,SLOT_ASCENDING
789,2,5,25,SLOT_ASCENDING
789,2,6,14,SLOT_ASCENDING
789,2,7,17,SLOT_ASCENDING
789,2,8,23,SLOT_ASCENDING
789,2,9,22,SLOT_ASCENDING
789,3,1,27,SLOT_ASCENDING
789,3,2,21,SLOT_ASCENDING
789,3,3,7,SLOT_ASCENDING
789,3,4,5,SLOT_ASCENDING
789,3,5,16,SLOT_ASCENDING
789,3,6,19,SLOT_ASCENDING
789,3,7,29,SLOT_ASCENDING
789,3,8,8,SLOT_ASCENDING
789,3,9,1,SLOT_ASCENDING
789,4,1,6,SLOT_ASCENDING
789,4,2,18,SLOT_ASCENDING
789,4,3,26,SLOT_ASCENDING
789,4,4,5,SLOT_ASCENDING
789,4,5,7,SLOT_ASCENDING
789,4,6,3,SLOT_ASCENDING
789,4,7,10,SLOT_ASCENDING
789,4,8,28,SLOT_ASCENDING
789,4,9,21,SLOT_ASCENDING
789,5,1,23,SLOT_ASCENDING
789,5,2,2,SLOT_ASCENDING
789,5,3,25,SLOT_ASCENDING
789,5,4,0,SLOT_ASCENDING
789,5,5,22,SLOT_ASCENDING
789,5,6,20,SLOT_ASCENDING
789,5,7,18,SLOT_ASCENDING
789,5,8,26,SLOT_ASCENDING
789,5,9,1,SLOT_ASCENDING
789,6,1,12,SLOT_ASCENDING
789,6,2,6,SLOT_ASCENDING
789,6,3,13,SLOT_ASCENDING
789,6,4,4,SLOT_ASCENDING
789,6,5,16,SLOT_ASCENDING
789,6,6,14,SLOT_ASCENDING
789,6,7,27,SLOT_ASCENDING
789,6,8,29,SLOT_ASCENDING
789,6,9,11,SLOT_ASCENDING
789,7,1,19,SLOT_ASCENDING
789,7,2,17,SLOT_ASCENDING
789,7,3,9,SLOT_ASCENDING
789,7,4,15,SLOT_ASCENDING
789,7,5,8,SLOT_ASCENDING
789,7,6,24,SLOT_ASCENDING
789,7,7,16,SLOT_ASCENDING
789,7,8,10,SLOT_ASCENDING
789,7,9,29,SLOT_ASCENDING
789,8,1,24,SLOT_ASCENDING
789,8,2,27,SLOT_ASCENDING
789,8,3,9,SLOT_ASCENDING
789,8,4,25,SLOT_ASCENDING
789,8,5,13,SLOT_ASCENDING
789,8,6,23,SLOT_ASCENDING
789,8,7,4,SLOT_ASCENDING
789,8,8,28,SLOT_ASCENDING
789,8,9,15,SLOT_ASCENDING
789,9,1,21,SLOT_ASCENDING
789,9,2,11,SLOT_ASCENDING
789,9,3,5,SLOT_ASCENDING
789,9,4,12,SLOT_ASCENDING
789,9,5,6,SLOT_ASCENDING
789,9,6,2,SLOT_ASCENDING
789,9,7,3,SLOT_ASCENDING
789,9,8,8,SLOT_ASCENDING
789,9,9,1,SLOT_ASCENDING
789,10,1,26,SLOT_ASCENDING
789,10,2,17,SLOT_ASCENDING
789,10,3,19,SLOT_ASCENDING
789,10,4,14,SLOT_ASCENDING
789,10,5,18,SLOT_ASCENDING
789,10,6,20,SLOT_ASCENDING
789,10,7,7,SLOT_ASCENDING
789,10,8,0,SLOT_ASCENDING
789,10,9,22,SLOT_ASCENDING
789,11,1,26,SLOT_ASCENDING
789,11,2,13,SLOT_ASCENDING
789,11,3,20,SLOT_ASCENDING
789,11,4,11,SLOT_ASCENDING
789,11,5,2,SLOT_ASCENDING
789,11,6,23,SLOT_ASCENDING
789,11,7,8,SLOT_ASCENDING
789,11,8,24,SLOT_ASCENDING
789,11,9,9,SLOT_ASCENDING
789,12,1,28,SLOT_ASCENDING
789,12,2,3,SLOT_ASCENDING
789,12,3,22,SLOT_ASCENDING
789,12,4,6,SLOT_ASCENDING
789,12,5,1,SLOT_ASCENDING
789,12,6,4,SLOT_ASCENDING
789,12,7,18,SLOT_ASCENDING
789,12,8,17,SLOT_ASCENDING
789,12,9,16,SLOT_ASCENDING
789,13,1,12,SLOT_ASCENDING
789,13,2,25,SLOT_ASCENDING
789,13,3,29,SLOT_ASCENDING
789,13,4,5,SLOT_ASCENDING
789,13,5,7,SLOT_ASCENDING
789,13,6,21,SLOT_ASCENDING
789,13,7,27,SLOT_ASCENDING
789,13,8,10,SLOT_ASCENDING
789,13,9,0,SLOT_ASCENDING
789,14,1,15,SLOT_ASCENDING
789,14,2,14,SLOT_ASCENDING
789,14,3,19,SLOT_ASCENDING
789,14,4,4,SLOT_ASCENDING
789,14,5,16,SLOT_ASCENDING
789,14,6,18,SLOT_ASCENDING
789,14,7,20,SLOT_ASCENDING
789,14,8,22,SLOT_ASCENDING
789,14,9,27,SLOT_ASCENDING
789,15,1,12,SLOT_ASCENDING
789,15,2,26,SLOT_ASCENDING
789,15,3,15,SLOT_ASCENDING
789,15,4,2,SLOT_ASCENDING
789,15,5,24,SLOT_ASCENDING
789,15,6,23,SLOT_ASCENDING
789,15,7,25,SLOT_ASCENDING
789,15,8,10,SLOT_ASCENDING
789,15,9,9,SLOT_ASCENDING
789,16,1,11,SLOT_ASCENDING
789,16,2,14,SLOT_ASCENDING
789,16,3,5,SLOT_ASCENDING
789,16,4,7,SLOT_ASCENDING
789,16,5,19,SLOT_ASCENDING
789,16,6,17,SLOT_ASCENDING
789,16,7,8,SLOT_ASCENDING
789,16,8,1,SLOT_ASCENDING
789,16,9,21,SLOT_ASCENDING
789,17,1,3,SLOT_ASCENDING
789,17,2,28,SLOT_ASCENDING
789,17,3,13,SLOT_ASCENDING
789,17,4,29,SLOT_ASCENDING
789,17,5,6,SLOT_ASCENDING
789,17,6,0,SLOT_ASCENDING
789,17,7,12,SLOT_ASCENDING
789,17,8,9,SLOT_ASCENDING
789,17,9,7,SLOT_ASCENDING
789,18,1,13,SLOT_ASCENDING
789,18,2,4,SLOT_ASCENDING
789,18,3,26,SLOT_ASCENDING
