run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed
82,14,1,0.1,signflip_mu0p2,fedle_adapted,456
83,14,1,0.1,signflip_mu0p2,tea_fl,456
84,14,1,0.1,signflip_mu0p2,arl_fl,456
85,15,1,0.1,signflip_mu0p4,fedavg,123
86,15,1,0.1,signflip_mu0p4,fedprox,123
87,15,1,0.1,signflip_mu0p4,random_trimmed_mean,123
88,15,1,0.1,signflip_mu0p4,fedle_adapted,123
89,15,1,0.1,signflip_mu0p4,tea_fl,123
90,15,1,0.1,signflip_mu0p4,arl_fl,123
91,16,1,0.1,signflip_mu0p4,fedavg,456
92,16,1,0.1,signflip_mu0p4,fedprox,456
93,16,1,0.1,signflip_mu0p4,random_trimmed_mean,456
94,16,1,0.1,signflip_mu0p4,fedle_adapted,456
95,16,1,0.1,signflip_mu0p4,tea_fl,456
96,16,1,0.1,signflip_mu0p4,arl_fl,456
97,17,1,0.1,labelflip_mu0p2,fedavg,123
98,17,1,0.1,labelflip_mu0p2,fedprox,123
99,17,1,0.1,labelflip_mu0p2,random_trimmed_mean,123
100,17,1,0.1,labelflip_mu0p2,fedle_adapted,123
101,17,1,0.1,labelflip_mu0p2,tea_fl,123
102,17,1,0.1,labelflip_mu0p2,arl_fl,123
103,18,1,0.1,labelflip_mu0p2,fedavg,456
104,18,1,0.1,labelflip_mu0p2,fedprox,456
105,18,1,0.1,labelflip_mu0p2,random_trimmed_mean,456
106,18,1,0.1,labelflip_mu0p2,fedle_adapted,456
107,18,1,0.1,labelflip_mu0p2,tea_fl,456
108,18,1,0.1,labelflip_mu0p2,arl_fl,456
109,19,1,0.1,labelflip_mu0p4,fedavg,123
110,19,1,0.1,labelflip_mu0p4,fedprox,123
111,19,1,0.1,labelflip_mu0p4,random_trimmed_mean,123
112,19,1,0.1,labelflip_mu0p4,fedle_adapted,123
113,19,1,0.1,labelflip_mu0p4,tea_fl,123
114,19,1,0.1,labelflip_mu0p4,arl_fl,123
115,20,1,0.1,labelflip_mu0p4,fedavg,456
116,20,1,0.1,labelflip_mu0p4,fedprox,456
117,20,1,0.1,labelflip_mu0p4,random_trimmed_mean,456
118,20,1,0.1,labelflip_mu0p4,fedle_adapted,456
119,20,1,0.1,labelflip_mu0p4,tea_fl,456
120,20,1,0.1,labelflip_mu0p4,arl_fl,456
121,21,2,1.0,clean,fedavg,123
122,21,2,1.0,clean,fedprox,123
123,21,2,1.0,clean,random_trimmed_mean,123
124,21,2,1.0,clean,fedle_adapted,123
125,21,2,1.0,clean,tea_fl,123
126,21,2,1.0,clean,arl_fl,123
127,22,2,1.0,clean,fedavg,456
128,22,2,1.0,clean,fedprox,456
129,22,2,1.0,clean,random_trimmed_mean,456
130,22,2,1.0,clean,fedle_adapted,456
131,22,2,1.0,clean,tea_fl,456
132,22,2,1.0,clean,arl_fl,456
133,23,2,1.0,signflip_mu0p2,fedavg,123
134,23,2,1.0,signflip_mu0p2,fedprox,123
135,23,2,1.0,signflip_mu0p2,random_trimmed_mean,123
136,23,2,1.0,signflip_mu0p2,fedle_adapted,123
137,23,2,1.0,signflip_mu0p2,tea_fl,123
138,23,2,1.0,signflip_mu0p2,arl_fl,123
139,24,2,1.0,signflip_mu0p2,fedavg,456
140,24,2,1.0,signflip_mu0p2,fedprox,456
141,24,2,1.0,signflip_mu0p2,random_trimmed_mean,456
142,24,2,1.0,signflip_mu0p2,fedle_adapted,456
143,24,2,1.0,signflip_mu0p2,tea_fl,456
144,24,2,1.0,signflip_mu0p2,arl_fl,456
145,25,2,1.0,signflip_mu0p4,fedavg,123
146,25,2,1.0,signflip_mu0p4,fedprox,123
147,25,2,1.0,signflip_mu0p4,random_trimmed_mean,123
148,25,2,1.0,signflip_mu0p4,fedle_adapted,123
149,25,2,1.0,signflip_mu0p4,tea_fl,123
150,25,2,1.0,signflip_mu0p4,arl_fl,123
151,26,2,1.0,signflip_mu0p4,fedavg,456
152,26,2,1.0,signflip_mu0p4,fedprox,456
153,26,2,1.0,signflip_mu0p4,random_trimmed_mean,456
154,26,2,1.0,signflip_mu0p4,fedle_adapted,456
155,26,2,1.0,signflip_mu0p4,tea_fl,456
156,26,2,1.0,signflip_mu0p4,arl_fl,456
157,27,2,1.0,labelflip_mu0p2,fedavg,123
158,27,2,1.0,labelflip_mu0p2,fedprox,123
159,27,2,1.0,labelflip_mu0p2,random_trimmed_mean,123
160,27,2,1.0,labelflip_mu0p2,fedle_adapted,123
161,27,2,1.0,labelflip_mu0p2,tea_fl,123
162,27,2,1.0,labelflip_mu0p2,arl_fl,123
163,28,2,1.0,labelflip_mu0p2,fedavg,456
164,28,2,1.0,labelflip_mu0p2,fedprox,456
165,28,2,1.0,labelflip_mu0p2,random_trimmed_mean,456
166,28,2,1.0,labelflip_mu0p2,fedle_adapted,456
167,28,2,1.0,labelflip_mu0p2,tea_fl,456
168,28,2,1.0,labelflip_mu0p2,arl_fl,456
169,29,2,1.0,labelflip_mu0p4,fedavg,123
170,29,2,1.0,labelflip_mu0p4,fedprox,123
171,29,2,1.0,labelflip_mu0p4,random_trimmed_mean,123
172,29,2,1.0,labelflip_mu0p4,fedle_adapted,123
173,29,2,1.0,labelflip_mu0p4,tea_fl,123
174,29,2,1.0,labelflip_mu0p4,arl_fl,123
175,30,2,1.0,labelflip_mu0p4,fedavg,456
176,30,2,1.0,labelflip_mu0p4,fedprox,456
177,30,2,1.0,labelflip_mu0p4,random_trimmed_mean,456
178,30,2,1.0,labelflip_mu0p4,fedle_adapted,456
179,30,2,1.0,labelflip_mu0p4,tea_fl,456
180,30,2,1.0,labelflip_mu0p4,arl_fl,456
181,31,2,0.1,clean,fedavg,123
182,31,2,0.1,clean,fedprox,123
183,31,2,0.1,clean,random_trimmed_mean,123
184,31,2,0.1,clean,fedle_adapted,123
185,31,2,0.1,clean,tea_fl,123
186,31,2,0.1,clean,arl_fl,123
187,32,2,0.1,clean,fedavg,456
188,32,2,0.1,clean,fedprox,456
189,32,2,0.1,clean,random_trimmed_mean,456
190,32,2,0.1,clean,fedle_adapted,456
191,32,2,0.1,clean,tea_fl,456
192,32,2,0.1,clean,arl_fl,456
193,33,2,0.1,signflip_mu0p2,fedavg,123
194,33,2,0.1,signflip_mu0p2,fedprox,123
195,33,2,0.1,signflip_mu0p2,random_trimmed_mean,123
196,33,2,0.1,signflip_mu0p2,fedle_adapted,123
197,33,2,0.1,signflip_mu0p2,tea_fl,123
198,33,2,0.1,signflip_mu0p2,arl_fl,123
199,34,2,0.1,signflip_mu0p2,fedavg,456
200,34,2,0.1,signflip_mu0p2,fedprox,456
201,34,2,0.1,signflip_mu0p2,random_trimmed_mean,456
202,34,2,0.1,signflip_mu0p2,fedle_adapted,456
203,34,2,0.1,signflip_mu0p2,tea_fl,456
204,34,2,0.1,signflip_mu0p2,arl_fl,456
205,35,2,0.1,signflip_mu0p4,fedavg,123
206,35,2,0.1,signflip_mu0p4,fedprox,123
207,35,2,0.1,signflip_mu0p4,random_trimmed_mean,123
208,35,2,0.1,signflip_mu0p4,fedle_adapted,123
209,35,2,0.1,signflip_mu0p4,tea_fl,123
210,35,2,0.1,signflip_mu0p4,arl_fl,123
211,36,2,0.1,signflip_mu0p4,fedavg,456
212,36,2,0.1,signflip_mu0p4,fedprox,456
213,36,2,0.1,signflip_mu0p4,random_trimmed_mean,456
214,36,2,0.1,signflip_mu0p4,fedle_adapted,456
215,36,2,0.1,signflip_mu0p4,tea_fl,456
216,36,2,0.1,signflip_mu0p4,arl_fl,456
217,37,2,0.1,labelflip_mu0p2,fedavg,123
218,37,2,0.1,labelflip_mu0p2,fedprox,123
219,37,2,0.1,labelflip_mu0p2,random_trimmed_mean,123
220,37,2,0.1,labelflip_mu0p2,fedle_adapted,123
221,37,2,0.1,labelflip_mu0p2,tea_fl,123
222,37,2,0.1,labelflip_mu0p2,arl_fl,123
223,38,2,0.1,labelflip_mu0p2,fedavg,456
224,38,2,0.1,labelflip_mu0p2,fedprox,456
225,38,2,0.1,labelflip_mu0p2,random_trimmed_mean,456
226,38,2,0.1,labelflip_mu0p2,fedle_adapted,456
227,38,2,0.1,labelflip_mu0p2,tea_fl,456
228,38,2,0.1,labelflip_mu0p2,arl_fl,456
229,39,2,0.1,labelflip_mu0p4,fedavg,123
230,39,2,0.1,labelflip_mu0p4,fedprox,123
231,39,2,0.1,labelflip_mu0p4,random_trimmed_mean,123
232,39,2,0.1,labelflip_mu0p4,fedle_adapted,123
233,39,2,0.1,labelflip_mu0p4,tea_fl,123
234,39,2,0.1,labelflip_mu0p4,arl_fl,123
235,40,2,0.1,labelflip_mu0p4,fedavg,456
236,40,2,0.1,labelflip_mu0p4,fedprox,456
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456
239,40,2,0.1,labelflip_mu0p4,tea_fl,456
240,40,2,0.1,labelflip_mu0p4,arl_fl,456
241,41,3,1.0,clean,fedavg,123
242,41,3,1.0,clean,fedprox,123
243,41,3,1.0,clean,random_trimmed_mean,123
244,41,3,1.0,clean,fedle_adapted,123
245,41,3,1.0,clean,tea_fl,123
246,41,3,1.0,clean,arl_fl,123
247,42,3,1.0,clean,fedavg,456
248,42,3,1.0,clean,fedprox,456
249,42,3,1.0,clean,random_trimmed_mean,456
250,42,3,1.0,clean,fedle_adapted,456
251,42,3,1.0,clean,tea_fl,456
252,42,3,1.0,clean,arl_fl,456
253,43,3,1.0,signflip_mu0p2,fedavg,123
254,43,3,1.0,signflip_mu0p2,fedprox,123
255,43,3,1.0,signflip_mu0p2,random_trimmed_mean,123
256,43,3,1.0,signflip_mu0p2,fedle_adapted,123
257,43,3,1.0,signflip_mu0p2,tea_fl,123
258,43,3,1.0,signflip_mu0p2,arl_fl,123
259,44,3,1.0,signflip_mu0p2,fedavg,456
260,44,3,1.0,signflip_mu0p2,fedprox,456
261,44,3,1.0,signflip_mu0p2,random_trimmed_mean,456
262,44,3,1.0,signflip_mu0p2,fedle_adapted,456
263,44,3,1.0,signflip_mu0p2,tea_fl,456
264,44,3,1.0,signflip_mu0p2,arl_fl,456
265,45,3,1.0,signflip_mu0p4,fedavg,123
266,45,3,1.0,signflip_mu0p4,fedprox,123
267,45,3,1.0,signflip_mu0p4,random_trimmed_mean,123
268,45,3,1.0,signflip_mu0p4,fedle_adapted,123
269,45,3,1.0,signflip_mu0p4,tea_fl,123
270,45,3,1.0,signflip_mu0p4,arl_fl,123
271,46,3,1.0,signflip_mu0p4,fedavg,456
272,46,3,1.0,signflip_mu0p4,fedprox,456
273,46,3,1.0,signflip_mu0p4,random_trimmed_mean,456
274,46,3,1.0,signflip_mu0p4,fedle_adapted,456
275,46,3,1.0,signflip_mu0p4,tea_fl,456
276,46,3,1.0,signflip_mu0p4,arl_fl,456
277,47,3,1.0,labelflip_mu0p2,fedavg,123
278,47,3,1.0,labelflip_mu0p2,fedprox,123
279,47,3,1.0,labelflip_mu0p2,random_trimmed_mean,123
280,47,3,1.0,labelflip_mu0p2,fedle_adapted,123
281,47,3,1.0,labelflip_mu0p2,tea_fl,123
282,47,3,1.0,labelflip_mu0p2,arl_fl,123
283,48,3,1.0,labelflip_mu0p2,fedavg,456
284,48,3,1.0,labelflip_mu0p2,fedprox,456
285,48,3,1.0,labelflip_mu0p2,random_trimmed_mean,456
286,48,3,1.0,labelflip_mu0p2,fedle_adapted,456
287,48,3,1.0,labelflip_mu0p2,tea_fl,456
288,48,3,1.0,labelflip_mu0p2,arl_fl,456
289,49,3,1.0,labelflip_mu0p4,fedavg,123
290,49,3,1.0,labelflip_mu0p4,fedprox,123
291,49,3,1.0,labelflip_mu0p4,random_trimmed_mean,123
292,49,3,1.0,labelflip_mu0p4,fedle_adapted,123
293,49,3,1.0,labelflip_mu0p4,tea_fl,123
294,49,3,1.0,labelflip_mu0p4,arl_fl,123
295,50,3,1.0,labelflip_mu0p4,fedavg,456
296,50,3,1.0,labelflip_mu0p4,fedprox,456
297,50,3,1.0,labelflip_mu0p4,random_trimmed_mean,456
298,50,3,1.0,labelflip_mu0p4,fedle_adapted,456
299,50,3,1.0,labelflip_mu0p4,tea_fl,456
300,50,3,1.0,labelflip_mu0p4,arl_fl,456
301,51,3,0.1,clean,fedavg,123
302,51,3,0.1,clean,fedprox,123
303,51,3,0.1,clean,random_trimmed_mean,123
304,51,3,0.1,clean,fedle_adapted,123
305,51,3,0.1,clean,tea_fl,123
306,51,3,0.1,clean,arl_fl,123
307,52,3,0.1,clean,fedavg,456
308,52,3,0.1,clean,fedprox,456
309,52,3,0.1,clean,random_trimmed_mean,456
310,52,3,0.1,clean,fedle_adapted,456
311,52,3,0.1,clean,tea_fl,456
312,52,3,0.1,clean,arl_fl,456
313,53,3,0.1,signflip_mu0p2,fedavg,123
314,53,3,0.1,signflip_mu0p2,fedprox,123
315,53,3,0.1,signflip_mu0p2,random_trimmed_mean,123
316,53,3,0.1,signflip_mu0p2,fedle_adapted,123
317,53,3,0.1,signflip_mu0p2,tea_fl,123
318,53,3,0.1,signflip_mu0p2,arl_fl,123
319,54,3,0.1,signflip_mu0p2,fedavg,456
320,54,3,0.1,signflip_mu0p2,fedprox,456
321,54,3,0.1,signflip_mu0p2,random_trimmed_mean,456
322,54,3,0.1,signflip_mu0p2,fedle_adapted,456
323,54,3,0.1,signflip_mu0p2,tea_fl,456
324,54,3,0.1,signflip_mu0p2,arl_fl,456
325,55,3,0.1,signflip_mu0p4,fedavg,123
326,55,3,0.1,signflip_mu0p4,fedprox,123
327,55,3,0.1,signflip_mu0p4,random_trimmed_mean,123
328,55,3,0.1,signflip_mu0p4,fedle_adapted,123
329,55,3,0.1,signflip_mu0p4,tea_fl,123
330,55,3,0.1,signflip_mu0p4,arl_fl,123
331,56,3,0.1,signflip_mu0p4,fedavg,456
332,56,3,0.1,signflip_mu0p4,fedprox,456
333,56,3,0.1,signflip_mu0p4,random_trimmed_mean,456
334,56,3,0.1,signflip_mu0p4,fedle_adapted,456
335,56,3,0.1,signflip_mu0p4,tea_fl,456
336,56,3,0.1,signflip_mu0p4,arl_fl,456
337,57,3,0.1,labelflip_mu0p2,fedavg,123
338,57,3,0.1,labelflip_mu0p2,fedprox,123
339,57,3,0.1,labelflip_mu0p2,random_trimmed_mean,123
340,57,3,0.1,labelflip_mu0p2,fedle_adapted,123
341,57,3,0.1,labelflip_mu0p2,tea_fl,123
342,57,3,0.1,labelflip_mu0p2,arl_fl,123
343,58,3,0.1,labelflip_mu0p2,fedavg,456
344,58,3,0.1,labelflip_mu0p2,fedprox,456
345,58,3,0.1,labelflip_mu0p2,random_trimmed_mean,456
346,58,3,0.1,labelflip_mu0p2,fedle_adapted,456
347,58,3,0.1,labelflip_mu0p2,tea_fl,456
348,58,3,0.1,labelflip_mu0p2,arl_fl,456
349,59,3,0.1,labelflip_mu0p4,fedavg,123
350,59,3,0.1,labelflip_mu0p4,fedprox,123
351,59,3,0.1,labelflip_mu0p4,random_trimmed_mean,123
352,59,3,0.1,labelflip_mu0p4,fedle_adapted,123
353,59,3,0.1,labelflip_mu0p4,tea_fl,123
354,59,3,0.1,labelflip_mu0p4,arl_fl,123
355,60,3,0.1,labelflip_mu0p4,fedavg,456
356,60,3,0.1,labelflip_mu0p4,fedprox,456
357,60,3,0.1,labelflip_mu0p4,random_trimmed_mean,456
358,60,3,0.1,labelflip_mu0p4,fedle_adapted,456
359,60,3,0.1,labelflip_mu0p4,tea_fl,456
360,60,3,0.1,labelflip_mu0p4,arl_fl,456
361,61,4,1.0,clean,fedavg,123
362,61,4,1.0,clean,fedprox,123
363,61,4,1.0,clean,random_trimmed_mean,123
364,61,4,1.0,clean,fedle_adapted,123
365,61,4,1.0,clean,tea_fl,123
366,61,4,1.0,clean,arl_fl,123
367,62,4,1.0,clean,fedavg,456
368,62,4,1.0,clean,fedprox,456
369,62,4,1.0,clean,random_trimmed_mean,456
370,62,4,1.0,clean,fedle_adapted,456
371,62,4,1.0,clean,tea_fl,456
372,62,4,1.0,clean,arl_fl,456
373,63,4,1.0,signflip_mu0p2,fedavg,123
374,63,4,1.0,signflip_mu0p2,fedprox,123
375,63,4,1.0,signflip_mu0p2,random_trimmed_mean,123
376,63,4,1.0,signflip_mu0p2,fedle_adapted,123
377,63,4,1.0,signflip_mu0p2,tea_fl,123
378,63,4,1.0,signflip_mu0p2,arl_fl,123
379,64,4,1.0,signflip_mu0p2,fedavg,456
380,64,4,1.0,signflip_mu0p2,fedprox,456
381,64,4,1.0,signflip_mu0p2,random_trimmed_mean,456
382,64,4,1.0,signflip_mu0p2,fedle_adapted,456
383,64,4,1.0,signflip_mu0p2,tea_fl,456
384,64,4,1.0,signflip_mu0p2,arl_fl,456
385,65,4,1.0,signflip_mu0p4,fedavg,123
386,65,4,1.0,signflip_mu0p4,fedprox,123
387,65,4,1.0,signflip_mu0p4,random_trimmed_mean,123
388,65,4,1.0,signflip_mu0p4,fedle_adapted,123
389,65,4,1.0,signflip_mu0p4,tea_fl,123
390,65,4,1.0,signflip_mu0p4,arl_fl,123
391,66,4,1.0,signflip_mu0p4,fedavg,456
392,66,4,1.0,signflip_mu0p4,fedprox,456
393,66,4,1.0,signflip_mu0p4,random_trimmed_mean,456
394,66,4,1.0,signflip_mu0p4,fedle_adapted,456
395,66,4,1.0,signflip_mu0p4,tea_fl,456
396,66,4,1.0,signflip_mu0p4,arl_fl,456
397,67,4,1.0,labelflip_mu0p2,fedavg,123
398,67,4,1.0,labelflip_mu0p2,fedprox,123
399,67,4,1.0,labelflip_mu0p2,random_trimmed_mean,123
400,67,4,1.0,labelflip_mu0p2,fedle_adapted,123
401,67,4,1.0,labelflip_mu0p2,tea_fl,123
402,67,4,1.0,labelflip_mu0p2,arl_fl,123
403,68,4,1.0,labelflip_mu0p2,fedavg,456
404,68,4,1.0,labelflip_mu0p2,fedprox,456
405,68,4,1.0,labelflip_mu0p2,random_trimmed_mean,456
406,68,4,1.0,labelflip_mu0p2,fedle_adapted,456
407,68,4,1.0,labelflip_mu0p2,tea_fl,456
408,68,4,1.0,labelflip_mu0p2,arl_fl,456
409,69,4,1.0,labelflip_mu0p4,fedavg,123
410,69,4,1.0,labelflip_mu0p4,fedprox,123
411,69,4,1.0,labelflip_mu0p4,random_trimmed_mean,123
412,69,4,1.0,labelflip_mu0p4,fedle_adapted,123
413,69,4,1.0,labelflip_mu0p4,tea_fl,123
414,69,4,1.0,labelflip_mu0p4,arl_fl,123
415,70,4,1.0,labelflip_mu0p4,fedavg,456
416,70,4,1.0,labelflip_mu0p4,fedprox,456
417,70,4,1.0,labelflip_mu0p4,random_trimmed_mean,456
418,70,4,1.0,labelflip_mu0p4,fedle_adapted,456
419,70,4,1.0,labelflip_mu0p4,tea_fl,456
420,70,4,1.0,labelflip_mu0p4,arl_fl,456
421,71,4,0.1,clean,fedavg,123
422,71,4,0.1,clean,fedprox,123
423,71,4,0.1,clean,random_trimmed_mean,123
424,71,4,0.1,clean,fedle_adapted,123
425,71,4,0.1,clean,tea_fl,123
426,71,4,0.1,clean,arl_fl,123
427,72,4,0.1,clean,fedavg,456
428,72,4,0.1,clean,fedprox,456
429,72,4,0.1,clean,random_trimmed_mean,456
430,72,4,0.1,clean,fedle_adapted,456
431,72,4,0.1,clean,tea_fl,456
432,72,4,0.1,clean,arl_fl,456
433,73,4,0.1,signflip_mu0p2,fedavg,123
434,73,4,0.1,signflip_mu0p2,fedprox,123
435,73,4,0.1,signflip_mu0p2,random_trimmed_mean,123
436,73,4,0.1,signflip_mu0p2,fedle_adapted,123
437,73,4,0.1,signflip_mu0p2,tea_fl,123
438,73,4,0.1,signflip_mu0p2,arl_fl,123
439,74,4,0.1,signflip_mu0p2,fedavg,456
440,74,4,0.1,signflip_mu0p2,fedprox,456
441,74,4,0.1,signflip_mu0p2,random_trimmed_mean,456
442,74,4,0.1,signflip_mu0p2,fedle_adapted,456
443,74,4,0.1,signflip_mu0p2,tea_fl,456
444,74,4,0.1,signflip_mu0p2,arl_fl,456
445,75,4,0.1,signflip_mu0p4,fedavg,123
446,75,4,0.1,signflip_mu0p4,fedprox,123
447,75,4,0.1,signflip_mu0p4,random_trimmed_mean,123
448,75,4,0.1,signflip_mu0p4,fedle_adapted,123
449,75,4,0.1,signflip_mu0p4,tea_fl,123
450,75,4,0.1,signflip_mu0p4,arl_fl,123
451,76,4,0.1,signflip_mu0p4,fedavg,456
452,76,4,0.1,signflip_mu0p4,fedprox,456
453,76,4,0.1,signflip_mu0p4,random_trimmed_mean,456
454,76,4,0.1,signflip_mu0p4,fedle_adapted,456
455,76,4,0.1,signflip_mu0p4,tea_fl,456
456,76,4,0.1,signflip_mu0p4,arl_fl,456
457,77,4,0.1,labelflip_mu0p2,fedavg,123
458,77,4,0.1,labelflip_mu0p2,fedprox,123
459,77,4,0.1,labelflip_mu0p2,random_trimmed_mean,123
460,77,4,0.1,labelflip_mu0p2,fedle_adapted,123
461,77,4,0.1,labelflip_mu0p2,tea_fl,123
462,77,4,0.1,labelflip_mu0p2,arl_fl,123
463,78,4,0.1,labelflip_mu0p2,fedavg,456
464,78,4,0.1,labelflip_mu0p2,fedprox,456
465,78,4,0.1,labelflip_mu0p2,random_trimmed_mean,456
466,78,4,0.1,labelflip_mu0p2,fedle_adapted,456
467,78,4,0.1,labelflip_mu0p2,tea_fl,456
468,78,4,0.1,labelflip_mu0p2,arl_fl,456
469,79,4,0.1,labelflip_mu0p4,fedavg,123
470,79,4,0.1,labelflip_mu0p4,fedprox,123
471,79,4,0.1,labelflip_mu0p4,random_trimmed_mean,123
472,79,4,0.1,labelflip_mu0p4,fedle_adapted,123
473,79,4,0.1,labelflip_mu0p4,tea_fl,123
474,79,4,0.1,labelflip_mu0p4,arl_fl,123
475,80,4,0.1,labelflip_mu0p4,fedavg,456
476,80,4,0.1,labelflip_mu0p4,fedprox,456
477,80,4,0.1,labelflip_mu0p4,random_trimmed_mean,456
478,80,4,0.1,labelflip_mu0p4,fedle_adapted,456
479,80,4,0.1,labelflip_mu0p4,tea_fl,456
480,80,4,0.1,labelflip_mu0p4,arl_fl,456
481,81,5,1.0,clean,fedavg,123
482,81,5,1.0,clean,fedprox,123
483,81,5,1.0,clean,random_trimmed_mean,123
484,81,5,1.0,clean,fedle_adapted,123
485,81,5,1.0,clean,tea_fl,123
486,81,5,1.0,clean,arl_fl,123
487,82,5,1.0,clean,fedavg,456
488,82,5,1.0,clean,fedprox,456
489,82,5,1.0,clean,random_trimmed_mean,456
490,82,5,1.0,clean,fedle_adapted,456
491,82,5,1.0,clean,tea_fl,456
492,82,5,1.0,clean,arl_fl,456
493,83,5,1.0,signflip_mu0p2,fedavg,123
494,83,5,1.0,signflip_mu0p2,fedprox,123
495,83,5,1.0,signflip_mu0p2,random_trimmed_mean,123
496,83,5,1.0,signflip_mu0p2,fedle_adapted,123
497,83,5,1.0,signflip_mu0p2,tea_fl,123
498,83,5,1.0,signflip_mu0p2,arl_fl,123
499,84,5,1.0,signflip_mu0p2,fedavg,456
500,84,5,1.0,signflip_mu0p2,fedprox,456
501,84,5,1.0,signflip_mu0p2,random_trimmed_mean,456
502,84,5,1.0,signflip_mu0p2,fedle_adapted,456
503,84,5,1.0,signflip_mu0p2,tea_fl,456
504,84,5,1.0,signflip_mu0p2,arl_fl,456
505,85,5,1.0,signflip_mu0p4,fedavg,123
506,85,5,1.0,signflip_mu0p4,fedprox,123
