"RunDirectory","EvidenceFileCount","CompleteMarkerFound","BindingFileCount","SourcePath"
"run_017__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_017__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P2"
"run_018__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_018__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P4"
"run_019__alpha_0p1_seed_42__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_019__alpha_0p1_seed_42__FEDAVG__CLEAN"
"run_020__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_020__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P2"
"run_021__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_021__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P4"
"run_022__alpha_0p1_seed_42__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_022__alpha_0p1_seed_42__FEDPROX__CLEAN"
"run_023__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_023__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P2"
"run_024__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_024__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P4"
"run_025__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_025__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__CLEAN"
"run_026__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_026__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_027__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_027__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_028__alpha_0p1_seed_42__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_028__alpha_0p1_seed_42__FEDLE_ADAPTED__CLEAN"
"run_029__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_029__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_030__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_030__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_031__alpha_0p1_seed_42__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_031__alpha_0p1_seed_42__TEA_FL__CLEAN"
"run_032__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_032__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P2"
"run_033__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_033__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P4"
"run_034__alpha_0p1_seed_42__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_034__alpha_0p1_seed_42__ARL_FL__CLEAN"
"run_035__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_035__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P2"
"run_036__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_036__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P4"
"run_037__alpha_0p1_seed_456__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_037__alpha_0p1_seed_456__FEDAVG__CLEAN"
"run_038__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_038__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P2"
"run_039__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_039__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P4"
"run_040__alpha_0p1_seed_456__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_040__alpha_0p1_seed_456__FEDPROX__CLEAN"
"run_041__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_041__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P2"
"run_042__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_042__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P4"
"run_043__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_043__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__CLEAN"
"run_044__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_044__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_045__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_045__alpha_0p1_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_046__alpha_0p1_seed_456__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_046__alpha_0p1_seed_456__FEDLE_ADAPTED__CLEAN"
"run_047__alpha_0p1_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_047__alpha_0p1_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_048__alpha_0p1_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_048__alpha_0p1_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_049__alpha_0p1_seed_456__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_049__alpha_0p1_seed_456__TEA_FL__CLEAN"
"run_050__alpha_0p1_seed_456__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_050__alpha_0p1_seed_456__TEA_FL__SIGNFLIP_MU0P2"
"run_051__alpha_0p1_seed_456__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_051__alpha_0p1_seed_456__TEA_FL__SIGNFLIP_MU0P4"
"run_052__alpha_0p1_seed_456__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_052__alpha_0p1_seed_456__ARL_FL__CLEAN"
"run_053__alpha_0p1_seed_456__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_053__alpha_0p1_seed_456__ARL_FL__SIGNFLIP_MU0P2"
"run_054__alpha_0p1_seed_456__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_054__alpha_0p1_seed_456__ARL_FL__SIGNFLIP_MU0P4"
"run_055__alpha_0p1_seed_789__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_055__alpha_0p1_seed_789__FEDAVG__CLEAN"
"run_056__alpha_0p1_seed_789__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_056__alpha_0p1_seed_789__FEDAVG__SIGNFLIP_MU0P2"
"run_057__alpha_0p1_seed_789__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_057__alpha_0p1_seed_789__FEDAVG__SIGNFLIP_MU0P4"
"run_058__alpha_0p1_seed_789__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_058__alpha_0p1_seed_789__FEDPROX__CLEAN"
"run_059__alpha_0p1_seed_789__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_059__alpha_0p1_seed_789__FEDPROX__SIGNFLIP_MU0P2"
"run_060__alpha_0p1_seed_789__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_060__alpha_0p1_seed_789__FEDPROX__SIGNFLIP_MU0P4"
"run_061__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_061__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__CLEAN"
"run_062__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_062__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_063__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_063__alpha_0p1_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_064__alpha_0p1_seed_789__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_064__alpha_0p1_seed_789__FEDLE_ADAPTED__CLEAN"
"run_065__alpha_0p1_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_065__alpha_0p1_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_066__alpha_0p1_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_066__alpha_0p1_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_067__alpha_0p1_seed_789__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_067__alpha_0p1_seed_789__TEA_FL__CLEAN"
"run_068__alpha_0p1_seed_789__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_068__alpha_0p1_seed_789__TEA_FL__SIGNFLIP_MU0P2"
"run_069__alpha_0p1_seed_789__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_069__alpha_0p1_seed_789__TEA_FL__SIGNFLIP_MU0P4"
"run_070__alpha_0p1_seed_789__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_070__alpha_0p1_seed_789__ARL_FL__CLEAN"
"run_071__alpha_0p1_seed_789__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_071__alpha_0p1_seed_789__ARL_FL__SIGNFLIP_MU0P2"
"run_072__alpha_0p1_seed_789__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_072__alpha_0p1_seed_789__ARL_FL__SIGNFLIP_MU0P4"
"run_073__alpha_0p1_seed_999__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_073__alpha_0p1_seed_999__FEDAVG__CLEAN"
"run_074__alpha_0p1_seed_999__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_074__alpha_0p1_seed_999__FEDAVG__SIGNFLIP_MU0P2"
"run_075__alpha_0p1_seed_999__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_075__alpha_0p1_seed_999__FEDAVG__SIGNFLIP_MU0P4"
"run_076__alpha_0p1_seed_999__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_076__alpha_0p1_seed_999__FEDPROX__CLEAN"
"run_077__alpha_0p1_seed_999__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_077__alpha_0p1_seed_999__FEDPROX__SIGNFLIP_MU0P2"
"run_078__alpha_0p1_seed_999__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_078__alpha_0p1_seed_999__FEDPROX__SIGNFLIP_MU0P4"
"run_079__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_079__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__CLEAN"
"run_080__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_080__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_081__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_081__alpha_0p1_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_082__alpha_0p1_seed_999__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_082__alpha_0p1_seed_999__FEDLE_ADAPTED__CLEAN"
"run_083__alpha_0p1_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_083__alpha_0p1_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_084__alpha_0p1_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_084__alpha_0p1_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_085__alpha_0p1_seed_999__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_085__alpha_0p1_seed_999__TEA_FL__CLEAN"
"run_086__alpha_0p1_seed_999__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_086__alpha_0p1_seed_999__TEA_FL__SIGNFLIP_MU0P2"
"run_087__alpha_0p1_seed_999__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_087__alpha_0p1_seed_999__TEA_FL__SIGNFLIP_MU0P4"
"run_088__alpha_0p1_seed_999__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_088__alpha_0p1_seed_999__ARL_FL__CLEAN"
"run_089__alpha_0p1_seed_999__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_089__alpha_0p1_seed_999__ARL_FL__SIGNFLIP_MU0P2"
"run_090__alpha_0p1_seed_999__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_090__alpha_0p1_seed_999__ARL_FL__SIGNFLIP_MU0P4"
"run_091__alpha_1p0_seed_123__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_091__alpha_1p0_seed_123__FEDAVG__CLEAN"
"run_092__alpha_1p0_seed_123__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_092__alpha_1p0_seed_123__FEDAVG__SIGNFLIP_MU0P2"
"run_093__alpha_1p0_seed_123__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_093__alpha_1p0_seed_123__FEDAVG__SIGNFLIP_MU0P4"
"run_094__alpha_1p0_seed_123__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_094__alpha_1p0_seed_123__FEDPROX__CLEAN"
"run_095__alpha_1p0_seed_123__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_095__alpha_1p0_seed_123__FEDPROX__SIGNFLIP_MU0P2"
"run_096__alpha_1p0_seed_123__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_096__alpha_1p0_seed_123__FEDPROX__SIGNFLIP_MU0P4"
"run_097__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_097__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__CLEAN"
"run_098__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_098__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_099__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_099__alpha_1p0_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_100__alpha_1p0_seed_123__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_100__alpha_1p0_seed_123__FEDLE_ADAPTED__CLEAN"
"run_101__alpha_1p0_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_101__alpha_1p0_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_102__alpha_1p0_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_102__alpha_1p0_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_103__alpha_1p0_seed_123__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_103__alpha_1p0_seed_123__TEA_FL__CLEAN"
"run_104__alpha_1p0_seed_123__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_104__alpha_1p0_seed_123__TEA_FL__SIGNFLIP_MU0P2"
"run_105__alpha_1p0_seed_123__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_105__alpha_1p0_seed_123__TEA_FL__SIGNFLIP_MU0P4"
"run_106__alpha_1p0_seed_123__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_106__alpha_1p0_seed_123__ARL_FL__CLEAN"
"run_107__alpha_1p0_seed_123__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_107__alpha_1p0_seed_123__ARL_FL__SIGNFLIP_MU0P2"
"run_108__alpha_1p0_seed_123__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_108__alpha_1p0_seed_123__ARL_FL__SIGNFLIP_MU0P4"
"run_109__alpha_1p0_seed_42__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_109__alpha_1p0_seed_42__FEDAVG__CLEAN"
"run_110__alpha_1p0_seed_42__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_110__alpha_1p0_seed_42__FEDAVG__SIGNFLIP_MU0P2"
"run_111__alpha_1p0_seed_42__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_111__alpha_1p0_seed_42__FEDAVG__SIGNFLIP_MU0P4"
"run_112__alpha_1p0_seed_42__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_112__alpha_1p0_seed_42__FEDPROX__CLEAN"
"run_113__alpha_1p0_seed_42__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_113__alpha_1p0_seed_42__FEDPROX__SIGNFLIP_MU0P2"
"run_114__alpha_1p0_seed_42__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_114__alpha_1p0_seed_42__FEDPROX__SIGNFLIP_MU0P4"
"run_115__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_115__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__CLEAN"
