ConfigID,Task7LabelID,Task7Label,ClientID,StartInclusive,EndExclusive,Count
alpha_0p1_seed_123,2,DoS_DDoS,3,1650222,2183853,533631
alpha_0p1_seed_123,2,DoS_DDoS,4,2183853,2735512,551659
alpha_0p1_seed_123,2,DoS_DDoS,5,2735512,3287100,551588
alpha_0p1_seed_123,2,DoS_DDoS,6,3287100,3776426,489326
alpha_0p1_seed_123,2,DoS_DDoS,7,3776426,3810200,33774
alpha_0p1_seed_123,2,DoS_DDoS,8,3810200,3810226,26
alpha_0p1_seed_123,2,DoS_DDoS,9,3810226,4361886,551660
alpha_0p1_seed_123,2,DoS_DDoS,10,4361886,4913546,551660
alpha_0p1_seed_123,2,DoS_DDoS,11,4913546,5465194,551648
alpha_0p1_seed_123,2,DoS_DDoS,12,5465194,6016853,551659
alpha_0p1_seed_123,2,DoS_DDoS,13,6016853,6568510,551657
alpha_0p1_seed_123,2,DoS_DDoS,14,6568510,7119888,551378
alpha_0p1_seed_123,2,DoS_DDoS,15,7119888,7671547,551659
alpha_0p1_seed_123,2,DoS_DDoS,16,7671547,7888001,216454
alpha_0p1_seed_123,2,DoS_DDoS,17,7888001,8439661,551660
alpha_0p1_seed_123,2,DoS_DDoS,18,8439661,8991001,551340
alpha_0p1_seed_123,2,DoS_DDoS,19,8991001,9542662,551661
alpha_0p1_seed_123,2,DoS_DDoS,20,9542662,9542941,279
alpha_0p1_seed_123,2,DoS_DDoS,21,9542941,9542949,8
alpha_0p1_seed_123,2,DoS_DDoS,22,9542949,9652559,109610
alpha_0p1_seed_123,2,DoS_DDoS,23,9652559,10037040,384481
alpha_0p1_seed_123,2,DoS_DDoS,24,10037040,10580097,543057
alpha_0p1_seed_123,2,DoS_DDoS,25,10580097,11131674,551577
alpha_0p1_seed_123,2,DoS_DDoS,26,11131674,11134583,2909
alpha_0p1_seed_123,2,DoS_DDoS,27,11134583,11669935,535352
alpha_0p1_seed_123,2,DoS_DDoS,28,11669935,12221595,551660
alpha_0p1_seed_123,2,DoS_DDoS,29,12221595,12773255,551660
alpha_0p1_seed_123,3,Mirai,0,0,0,0
alpha_0p1_seed_123,3,Mirai,1,0,6,6
alpha_0p1_seed_123,3,Mirai,2,6,23,17
alpha_0p1_seed_123,3,Mirai,3,23,18027,18004
alpha_0p1_seed_123,3,Mirai,4,18027,18029,2
alpha_0p1_seed_123,3,Mirai,5,18029,18099,70
alpha_0p1_seed_123,3,Mirai,6,18099,18099,0
alpha_0p1_seed_123,3,Mirai,7,18099,111741,93642
alpha_0p1_seed_123,3,Mirai,8,111741,111781,40
alpha_0p1_seed_123,3,Mirai,9,111781,111781,0
alpha_0p1_seed_123,3,Mirai,10,111781,111781,0
alpha_0p1_seed_123,3,Mirai,11,111781,111794,13
alpha_0p1_seed_123,3,Mirai,12,111794,111794,0
alpha_0p1_seed_123,3,Mirai,13,111794,111794,0
alpha_0p1_seed_123,3,Mirai,14,111794,111831,37
alpha_0p1_seed_123,3,Mirai,15,111831,111831,0
alpha_0p1_seed_123,3,Mirai,16,111831,111833,2
alpha_0p1_seed_123,3,Mirai,17,111833,111833,0
alpha_0p1_seed_123,3,Mirai,18,111833,112154,321
alpha_0p1_seed_123,3,Mirai,19,112154,112154,0
alpha_0p1_seed_123,3,Mirai,20,112154,421923,309769
alpha_0p1_seed_123,3,Mirai,21,421923,964383,542460
alpha_0p1_seed_123,3,Mirai,22,964383,1406414,442031
alpha_0p1_seed_123,3,Mirai,23,1406414,1406414,0
alpha_0p1_seed_123,3,Mirai,24,1406414,1414994,8580
alpha_0p1_seed_123,3,Mirai,25,1414994,1414994,0
alpha_0p1_seed_123,3,Mirai,26,1414994,1963678,548684
alpha_0p1_seed_123,3,Mirai,27,1963678,1963693,15
alpha_0p1_seed_123,3,Mirai,28,1963693,1963693,0
alpha_0p1_seed_123,3,Mirai,29,1963693,1963693,0
alpha_0p1_seed_123,4,Recon,0,0,1,1
alpha_0p1_seed_123,4,Recon,1,1,1,0
alpha_0p1_seed_123,4,Recon,2,1,7,6
alpha_0p1_seed_123,4,Recon,3,7,30,23
alpha_0p1_seed_123,4,Recon,4,30,30,0
alpha_0p1_seed_123,4,Recon,5,30,33,3
alpha_0p1_seed_123,4,Recon,6,33,15690,15657
alpha_0p1_seed_123,4,Recon,7,15690,15690,0
alpha_0p1_seed_123,4,Recon,8,15690,15690,0
alpha_0p1_seed_123,4,Recon,9,15690,15690,0
alpha_0p1_seed_123,4,Recon,10,15690,15690,0
alpha_0p1_seed_123,4,Recon,11,15690,15690,0
alpha_0p1_seed_123,4,Recon,12,15690,15690,0
alpha_0p1_seed_123,4,Recon,13,15690,15690,0
alpha_0p1_seed_123,4,Recon,14,15690,15936,246
alpha_0p1_seed_123,4,Recon,15,15936,15936,0
alpha_0p1_seed_123,4,Recon,16,15936,180027,164091
alpha_0p1_seed_123,4,Recon,17,180027,180027,0
alpha_0p1_seed_123,4,Recon,18,180027,180027,0
alpha_0p1_seed_123,4,Recon,19,180027,180027,0
alpha_0p1_seed_123,4,Recon,20,180027,381989,201962
alpha_0p1_seed_123,4,Recon,21,381989,383304,1315
alpha_0p1_seed_123,4,Recon,22,383304,383304,0
alpha_0p1_seed_123,4,Recon,23,383304,545656,162352
alpha_0p1_seed_123,4,Recon,24,545656,545656,0
alpha_0p1_seed_123,4,Recon,25,545656,545733,77
alpha_0p1_seed_123,4,Recon,26,545733,545764,31
alpha_0p1_seed_123,4,Recon,27,545764,545764,0
alpha_0p1_seed_123,4,Recon,28,545764,545764,0
alpha_0p1_seed_123,4,Recon,29,545764,545764,0
alpha_0p1_seed_123,5,Spoofing,0,0,0,0
alpha_0p1_seed_123,5,Spoofing,1,0,3750,3750
alpha_0p1_seed_123,5,Spoofing,2,3750,3803,53
alpha_0p1_seed_123,5,Spoofing,3,3803,3803,0
alpha_0p1_seed_123,5,Spoofing,4,3803,3803,0
alpha_0p1_seed_123,5,Spoofing,5,3803,3803,0
alpha_0p1_seed_123,5,Spoofing,6,3803,50440,46637
alpha_0p1_seed_123,5,Spoofing,7,50440,83268,32828
alpha_0p1_seed_123,5,Spoofing,8,83268,151021,67753
alpha_0p1_seed_123,5,Spoofing,9,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,10,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,11,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,12,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,13,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,14,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,15,151021,151021,0
alpha_0p1_seed_123,5,Spoofing,16,151021,322135,171114
alpha_0p1_seed_123,5,Spoofing,17,322135,322136,1
alpha_0p1_seed_123,5,Spoofing,18,322136,322136,0
alpha_0p1_seed_123,5,Spoofing,19,322136,322136,0
alpha_0p1_seed_123,5,Spoofing,20,322136,361634,39498
alpha_0p1_seed_123,5,Spoofing,21,361634,362682,1048
alpha_0p1_seed_123,5,Spoofing,22,362682,362682,0
alpha_0p1_seed_123,5,Spoofing,23,362682,362682,0
alpha_0p1_seed_123,5,Spoofing,24,362682,362682,0
alpha_0p1_seed_123,5,Spoofing,25,362682,362682,0
alpha_0p1_seed_123,5,Spoofing,26,362682,362718,36
alpha_0p1_seed_123,5,Spoofing,27,362718,362726,8
alpha_0p1_seed_123,5,Spoofing,28,362726,362726,0
alpha_0p1_seed_123,5,Spoofing,29,362726,362726,0
alpha_0p1_seed_123,6,Web,0,0,0,0
alpha_0p1_seed_123,6,Web,1,0,0,0
alpha_0p1_seed_123,6,Web,2,0,7,7
alpha_0p1_seed_123,6,Web,3,7,10,3
alpha_0p1_seed_123,6,Web,4,10,10,0
alpha_0p1_seed_123,6,Web,5,10,10,0
alpha_0p1_seed_123,6,Web,6,10,10,0
alpha_0p1_seed_123,6,Web,7,10,19394,19384
alpha_0p1_seed_123,6,Web,8,19394,19466,72
alpha_0p1_seed_123,6,Web,9,19466,19467,1
alpha_0p1_seed_123,6,Web,10,19467,19467,0
alpha_0p1_seed_123,6,Web,11,19467,19467,0
alpha_0p1_seed_123,6,Web,12,19467,19468,1
alpha_0p1_seed_123,6,Web,13,19468,19472,4
alpha_0p1_seed_123,6,Web,14,19472,19472,0
alpha_0p1_seed_123,6,Web,15,19472,19472,0
alpha_0p1_seed_123,6,Web,16,19472,19472,0
alpha_0p1_seed_123,6,Web,17,19472,19472,0
alpha_0p1_seed_123,6,Web,18,19472,19472,0
alpha_0p1_seed_123,6,Web,19,19472,19472,0
alpha_0p1_seed_123,6,Web,20,19472,19625,153
alpha_0p1_seed_123,6,Web,21,19625,19625,0
alpha_0p1_seed_123,6,Web,22,19625,19625,0
alpha_0p1_seed_123,6,Web,23,19625,19659,34
alpha_0p1_seed_123,6,Web,24,19659,19682,23
alpha_0p1_seed_123,6,Web,25,19682,19688,6
alpha_0p1_seed_123,6,Web,26,19688,19688,0
alpha_0p1_seed_123,6,Web,27,19688,19688,0
alpha_0p1_seed_123,6,Web,28,19688,19688,0
alpha_0p1_seed_123,6,Web,29,19688,19688,0
alpha_0p1_seed_42,0,Benign,0,0,441632,441632
alpha_0p1_seed_42,0,Benign,1,441632,441632,0
alpha_0p1_seed_42,0,Benign,2,441632,441632,0
alpha_0p1_seed_42,0,Benign,3,441632,441632,0
alpha_0p1_seed_42,0,Benign,4,441632,441633,1
alpha_0p1_seed_42,0,Benign,5,441633,441633,0
alpha_0p1_seed_42,0,Benign,6,441633,441633,0
alpha_0p1_seed_42,0,Benign,7,441633,441633,0
alpha_0p1_seed_42,0,Benign,8,441633,441633,0
alpha_0p1_seed_42,0,Benign,9,441633,441633,0
alpha_0p1_seed_42,0,Benign,10,441633,441633,0
alpha_0p1_seed_42,0,Benign,11,441633,441633,0
alpha_0p1_seed_42,0,Benign,12,441633,441633,0
alpha_0p1_seed_42,0,Benign,13,441633,441634,1
alpha_0p1_seed_42,0,Benign,14,441634,441634,0
alpha_0p1_seed_42,0,Benign,15,441634,635758,194124
alpha_0p1_seed_42,0,Benign,16,635758,635758,0
alpha_0p1_seed_42,0,Benign,17,635758,635759,1
alpha_0p1_seed_42,0,Benign,18,635759,635760,1
alpha_0p1_seed_42,0,Benign,19,635760,635760,0
alpha_0p1_seed_42,0,Benign,20,635760,635760,0
alpha_0p1_seed_42,0,Benign,21,635760,635760,0
alpha_0p1_seed_42,0,Benign,22,635760,635760,0
alpha_0p1_seed_42,0,Benign,23,635760,635773,13
alpha_0p1_seed_42,0,Benign,24,635773,635773,0
alpha_0p1_seed_42,0,Benign,25,635773,635780,7
alpha_0p1_seed_42,0,Benign,26,635780,847056,211276
alpha_0p1_seed_42,0,Benign,27,847056,874256,27200
alpha_0p1_seed_42,0,Benign,28,874256,874256,0
alpha_0p1_seed_42,0,Benign,29,874256,874262,6
alpha_0p1_seed_42,1,Brute Force,0,0,26,26
alpha_0p1_seed_42,1,Brute Force,1,26,26,0
alpha_0p1_seed_42,1,Brute Force,2,26,26,0
alpha_0p1_seed_42,1,Brute Force,3,26,26,0
alpha_0p1_seed_42,1,Brute Force,4,26,26,0
alpha_0p1_seed_42,1,Brute Force,5,26,27,1
alpha_0p1_seed_42,1,Brute Force,6,27,27,0
alpha_0p1_seed_42,1,Brute Force,7,27,27,0
alpha_0p1_seed_42,1,Brute Force,8,27,27,0
alpha_0p1_seed_42,1,Brute Force,9,27,27,0
alpha_0p1_seed_42,1,Brute Force,10,27,27,0
alpha_0p1_seed_42,1,Brute Force,11,27,27,0
alpha_0p1_seed_42,1,Brute Force,12,27,27,0
alpha_0p1_seed_42,1,Brute Force,13,27,28,1
alpha_0p1_seed_42,1,Brute Force,14,28,29,1
alpha_0p1_seed_42,1,Brute Force,15,29,80,51
alpha_0p1_seed_42,1,Brute Force,16,80,80,0
alpha_0p1_seed_42,1,Brute Force,17,80,80,0
alpha_0p1_seed_42,1,Brute Force,18,80,80,0
alpha_0p1_seed_42,1,Brute Force,19,80,80,0
alpha_0p1_seed_42,1,Brute Force,20,80,80,0
alpha_0p1_seed_42,1,Brute Force,21,80,80,0
alpha_0p1_seed_42,1,Brute Force,22,80,80,0
alpha_0p1_seed_42,1,Brute Force,23,80,80,0
alpha_0p1_seed_42,1,Brute Force,24,80,80,0
alpha_0p1_seed_42,1,Brute Force,25,80,80,0
alpha_0p1_seed_42,1,Brute Force,26,80,80,0
alpha_0p1_seed_42,1,Brute Force,27,80,10436,10356
alpha_0p1_seed_42,1,Brute Force,28,10436,10436,0
alpha_0p1_seed_42,1,Brute Force,29,10436,10436,0
alpha_0p1_seed_42,2,DoS_DDoS,0,0,1953,1953
alpha_0p1_seed_42,2,DoS_DDoS,1,1953,553607,551654
alpha_0p1_seed_42,2,DoS_DDoS,2,553607,1104998,551391
alpha_0p1_seed_42,2,DoS_DDoS,3,1104998,1656656,551658
alpha_0p1_seed_42,2,DoS_DDoS,4,1656656,2208314,551658
alpha_0p1_seed_42,2,DoS_DDoS,5,2208314,2437905,229591
alpha_0p1_seed_42,2,DoS_DDoS,6,2437905,2989565,551660
alpha_0p1_seed_42,2,DoS_DDoS,7,2989565,3541195,551630
alpha_0p1_seed_42,2,DoS_DDoS,8,3541195,3544288,3093
alpha_0p1_seed_42,2,DoS_DDoS,9,3544288,4095461,551173
alpha_0p1_seed_42,2,DoS_DDoS,10,4095461,4647117,551656
alpha_0p1_seed_42,2,DoS_DDoS,11,4647117,5198778,551661
alpha_0p1_seed_42,2,DoS_DDoS,12,5198778,5736208,537430
alpha_0p1_seed_42,2,DoS_DDoS,13,5736208,5736208,0
alpha_0p1_seed_42,2,DoS_DDoS,14,5736208,6287596,551388
alpha_0p1_seed_42,2,DoS_DDoS,15,6287596,6287596,0
alpha_0p1_seed_42,2,DoS_DDoS,16,6287596,6839144,551548
alpha_0p1_seed_42,2,DoS_DDoS,17,6839144,7390758,551614
alpha_0p1_seed_42,2,DoS_DDoS,18,7390758,7942416,551658
alpha_0p1_seed_42,2,DoS_DDoS,19,7942416,8491540,549124
alpha_0p1_seed_42,2,DoS_DDoS,20,8491540,9043199,551659
alpha_0p1_seed_42,2,DoS_DDoS,21,9043199,9490797,447598
alpha_0p1_seed_42,2,DoS_DDoS,22,9490797,10042452,551655
alpha_0p1_seed_42,2,DoS_DDoS,23,10042452,10591611,549159
alpha_0p1_seed_42,2,DoS_DDoS,24,10591611,11143225,551614
alpha_0p1_seed_42,2,DoS_DDoS,25,11143225,11629438,486213
alpha_0p1_seed_42,2,DoS_DDoS,26,11629438,11668601,39163
alpha_0p1_seed_42,2,DoS_DDoS,27,11668601,11670310,1709
alpha_0p1_seed_42,2,DoS_DDoS,28,11670310,12221968,551658
alpha_0p1_seed_42,2,DoS_DDoS,29,12221968,12773255,551287
alpha_0p1_seed_42,3,Mirai,0,0,103730,103730
alpha_0p1_seed_42,3,Mirai,1,103730,103737,7
alpha_0p1_seed_42,3,Mirai,2,103737,104007,270
alpha_0p1_seed_42,3,Mirai,3,104007,104007,0
alpha_0p1_seed_42,3,Mirai,4,104007,104007,0
alpha_0p1_seed_42,3,Mirai,5,104007,104007,0
alpha_0p1_seed_42,3,Mirai,6,104007,104007,0
alpha_0p1_seed_42,3,Mirai,7,104007,104037,30
alpha_0p1_seed_42,3,Mirai,8,104037,635384,531347
alpha_0p1_seed_42,3,Mirai,9,635384,635872,488
alpha_0p1_seed_42,3,Mirai,10,635872,635877,5
alpha_0p1_seed_42,3,Mirai,11,635877,635877,0
alpha_0p1_seed_42,3,Mirai,12,635877,637956,2079
alpha_0p1_seed_42,3,Mirai,13,637956,1156440,518484
alpha_0p1_seed_42,3,Mirai,14,1156440,1156458,18
alpha_0p1_seed_42,3,Mirai,15,1156458,1194308,37850
alpha_0p1_seed_42,3,Mirai,16,1194308,1194421,113
alpha_0p1_seed_42,3,Mirai,17,1194421,1194467,46
alpha_0p1_seed_42,3,Mirai,18,1194467,1194467,0
alpha_0p1_seed_42,3,Mirai,19,1194467,1195981,1514
alpha_0p1_seed_42,3,Mirai,20,1195981,1195983,2
alpha_0p1_seed_42,3,Mirai,21,1195983,1197618,1635
alpha_0p1_seed_42,3,Mirai,22,1197618,1197618,0
alpha_0p1_seed_42,3,Mirai,23,1197618,1197702,84
alpha_0p1_seed_42,3,Mirai,24,1197702,1197702,0
alpha_0p1_seed_42,3,Mirai,25,1197702,1197703,1
alpha_0p1_seed_42,3,Mirai,26,1197703,1492268,294565
alpha_0p1_seed_42,3,Mirai,27,1492268,1963328,471060
alpha_0p1_seed_42,3,Mirai,28,1963328,1963328,0
alpha_0p1_seed_42,3,Mirai,29,1963328,1963693,365
alpha_0p1_seed_42,4,Recon,0,0,0,0
alpha_0p1_seed_42,4,Recon,1,0,0,0
alpha_0p1_seed_42,4,Recon,2,0,0,0
alpha_0p1_seed_42,4,Recon,3,0,3,3
alpha_0p1_seed_42,4,Recon,4,3,5,2
alpha_0p1_seed_42,4,Recon,5,5,7123,7118
alpha_0p1_seed_42,4,Recon,6,7123,7124,1
alpha_0p1_seed_42,4,Recon,7,7124,7125,1
alpha_0p1_seed_42,4,Recon,8,7125,24319,17194
alpha_0p1_seed_42,4,Recon,9,24319,24319,0
alpha_0p1_seed_42,4,Recon,10,24319,24319,0
alpha_0p1_seed_42,4,Recon,11,24319,24319,0
alpha_0p1_seed_42,4,Recon,12,24319,36471,12152
alpha_0p1_seed_42,4,Recon,13,36471,69646,33175
alpha_0p1_seed_42,4,Recon,14,69646,69646,0
alpha_0p1_seed_42,4,Recon,15,69646,332651,263005
alpha_0p1_seed_42,4,Recon,16,332651,332651,0
alpha_0p1_seed_42,4,Recon,17,332651,332651,0
alpha_0p1_seed_42,4,Recon,18,332651,332651,0
alpha_0p1_seed_42,4,Recon,19,332651,333674,1023
alpha_0p1_seed_42,4,Recon,20,333674,333674,0
alpha_0p1_seed_42,4,Recon,21,333674,436074,102400
alpha_0p1_seed_42,4,Recon,22,436074,436080,6
alpha_0p1_seed_42,4,Recon,23,436080,438481,2401
alpha_0p1_seed_42,4,Recon,24,438481,438527,46
alpha_0p1_seed_42,4,Recon,25,438527,503965,65438
alpha_0p1_seed_42,4,Recon,26,503965,504430,465
alpha_0p1_seed_42,4,Recon,27,504430,545762,41332
alpha_0p1_seed_42,4,Recon,28,545762,545762,0
alpha_0p1_seed_42,4,Recon,29,545762,545764,2
alpha_0p1_seed_42,5,Spoofing,0,0,0,0
alpha_0p1_seed_42,5,Spoofing,1,0,0,0
alpha_0p1_seed_42,5,Spoofing,2,0,0,0
alpha_0p1_seed_42,5,Spoofing,3,0,0,0
alpha_0p1_seed_42,5,Spoofing,4,0,0,0
alpha_0p1_seed_42,5,Spoofing,5,0,305746,305746
alpha_0p1_seed_42,5,Spoofing,6,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,7,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,8,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,9,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,10,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,11,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,12,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,13,305746,305746,0
alpha_0p1_seed_42,5,Spoofing,14,305746,306000,254
alpha_0p1_seed_42,5,Spoofing,15,306000,362630,56630
alpha_0p1_seed_42,5,Spoofing,16,362630,362630,0
alpha_0p1_seed_42,5,Spoofing,17,362630,362630,0
alpha_0p1_seed_42,5,Spoofing,18,362630,362630,0
alpha_0p1_seed_42,5,Spoofing,19,362630,362630,0
alpha_0p1_seed_42,5,Spoofing,20,362630,362630,0
alpha_0p1_seed_42,5,Spoofing,21,362630,362658,28
alpha_0p1_seed_42,5,Spoofing,22,362658,362658,0
alpha_0p1_seed_42,5,Spoofing,23,362658,362662,4
alpha_0p1_seed_42,5,Spoofing,24,362662,362662,0
alpha_0p1_seed_42,5,Spoofing,25,362662,362662,0
alpha_0p1_seed_42,5,Spoofing,26,362662,362723,61
alpha_0p1_seed_42,5,Spoofing,27,362723,362726,3
alpha_0p1_seed_42,5,Spoofing,28,362726,362726,0
alpha_0p1_seed_42,5,Spoofing,29,362726,362726,0
alpha_0p1_seed_42,6,Web,0,0,4320,4320
alpha_0p1_seed_42,6,Web,1,4320,4320,0
alpha_0p1_seed_42,6,Web,2,4320,4320,0
alpha_0p1_seed_42,6,Web,3,4320,4320,0
alpha_0p1_seed_42,6,Web,4,4320,4320,0
alpha_0p1_seed_42,6,Web,5,4320,13525,9205
alpha_0p1_seed_42,6,Web,6,13525,13525,0
alpha_0p1_seed_42,6,Web,7,13525,13525,0
alpha_0p1_seed_42,6,Web,8,13525,13552,27
alpha_0p1_seed_42,6,Web,9,13552,13552,0
alpha_0p1_seed_42,6,Web,10,13552,13552,0
alpha_0p1_seed_42,6,Web,11,13552,13552,0
alpha_0p1_seed_42,6,Web,12,13552,13552,0
alpha_0p1_seed_42,6,Web,13,13552,13552,0
alpha_0p1_seed_42,6,Web,14,13552,13552,0
alpha_0p1_seed_42,6,Web,15,13552,13553,1
alpha_0p1_seed_42,6,Web,16,13553,13553,0
alpha_0p1_seed_42,6,Web,17,13553,13553,0
alpha_0p1_seed_42,6,Web,18,13553,13555,2
alpha_0p1_seed_42,6,Web,19,13555,13555,0
alpha_0p1_seed_42,6,Web,20,13555,13555,0
alpha_0p1_seed_42,6,Web,21,13555,13555,0
alpha_0p1_seed_42,6,Web,22,13555,13555,0
alpha_0p1_seed_42,6,Web,23,13555,13555,0
alpha_0p1_seed_42,6,Web,24,13555,13555,0
alpha_0p1_seed_42,6,Web,25,13555,13556,1
alpha_0p1_seed_42,6,Web,26,13556,19686,6130
alpha_0p1_seed_42,6,Web,27,19686,19686,0
alpha_0p1_seed_42,6,Web,28,19686,19688,2
alpha_0p1_seed_42,6,Web,29,19688,19688,0
alpha_0p1_seed_456,0,Benign,0,0,0,0
alpha_0p1_seed_456,0,Benign,1,0,1,1
alpha_0p1_seed_456,0,Benign,2,1,5388,5387
alpha_0p1_seed_456,0,Benign,3,5388,5392,4
alpha_0p1_seed_456,0,Benign,4,5392,5534,142
alpha_0p1_seed_456,0,Benign,5,5534,9060,3526
alpha_0p1_seed_456,0,Benign,6,9060,9060,0
alpha_0p1_seed_456,0,Benign,7,9060,9341,281
alpha_0p1_seed_456,0,Benign,8,9341,9341,0
alpha_0p1_seed_456,0,Benign,9,9341,9341,0
alpha_0p1_seed_456,0,Benign,10,9341,529145,519804
alpha_0p1_seed_456,0,Benign,11,529145,530278,1133
alpha_0p1_seed_456,0,Benign,12,530278,532222,1944
alpha_0p1_seed_456,0,Benign,13,532222,532222,0
alpha_0p1_seed_456,0,Benign,14,532222,532222,0
alpha_0p1_seed_456,0,Benign,15,532222,651209,118987
alpha_0p1_seed_456,0,Benign,16,651209,651209,0
alpha_0p1_seed_456,0,Benign,17,651209,704041,52832
alpha_0p1_seed_456,0,Benign,18,704041,704041,0
alpha_0p1_seed_456,0,Benign,19,704041,704041,0
alpha_0p1_seed_456,0,Benign,20,704041,704041,0
alpha_0p1_seed_456,0,Benign,21,704041,704041,0
alpha_0p1_seed_456,0,Benign,22,704041,704041,0
alpha_0p1_seed_456,0,Benign,23,704041,874186,170145
alpha_0p1_seed_456,0,Benign,24,874186,874186,0
alpha_0p1_seed_456,0,Benign,25,874186,874186,0
alpha_0p1_seed_456,0,Benign,26,874186,874186,0
alpha_0p1_seed_456,0,Benign,27,874186,874186,0
alpha_0p1_seed_456,0,Benign,28,874186,874252,66
alpha_0p1_seed_456,0,Benign,29,874252,874262,10
alpha_0p1_seed_456,1,Brute Force,0,0,0,0
alpha_0p1_seed_456,1,Brute Force,1,0,0,0
alpha_0p1_seed_456,1,Brute Force,2,0,0,0
alpha_0p1_seed_456,1,Brute Force,3,0,0,0
alpha_0p1_seed_456,1,Brute Force,4,0,0,0
alpha_0p1_seed_456,1,Brute Force,5,0,0,0
alpha_0p1_seed_456,1,Brute Force,6,0,0,0
alpha_0p1_seed_456,1,Brute Force,7,0,0,0
