outer_fold,outer_test_subject,alpha,global_client_id,class_index,activity_name,windows
1,101,1.0,subject103_client0,0,lying,85
1,101,1.0,subject103_client0,1,sitting,38
1,101,1.0,subject103_client0,2,standing,102
1,101,1.0,subject103_client0,3,walking,85
1,101,1.0,subject103_client0,4,running,0
1,101,1.0,subject103_client0,5,cycling,0
1,101,1.0,subject103_client0,6,Nordic walking,0
1,101,1.0,subject103_client0,7,ascending stairs,7
1,101,1.0,subject103_client0,8,descending stairs,2
1,101,1.0,subject103_client0,9,vacuum cleaning,51
1,101,1.0,subject103_client0,10,ironing,191
1,101,1.0,subject103_client0,11,rope jumping,0
1,101,1.0,subject103_client1,0,lying,53
1,101,1.0,subject103_client1,1,sitting,12
1,101,1.0,subject103_client1,2,standing,5
1,101,1.0,subject103_client1,3,walking,14
1,101,1.0,subject103_client1,4,running,0
1,101,1.0,subject103_client1,5,cycling,0
1,101,1.0,subject103_client1,6,Nordic walking,0
1,101,1.0,subject103_client1,7,ascending stairs,0
1,101,1.0,subject103_client1,8,descending stairs,51
1,101,1.0,subject103_client1,9,vacuum cleaning,79
1,101,1.0,subject103_client1,10,ironing,1
1,101,1.0,subject103_client1,11,rope jumping,0
1,101,1.0,subject103_client2,0,lying,2
1,101,1.0,subject103_client2,1,sitting,62
1,101,1.0,subject103_client2,2,standing,32
1,101,1.0,subject103_client2,3,walking,39
1,101,1.0,subject103_client2,4,running,0
1,101,1.0,subject103_client2,5,cycling,0
1,101,1.0,subject103_client2,6,Nordic walking,0
1,101,1.0,subject103_client2,7,ascending stairs,8
1,101,1.0,subject103_client2,8,descending stairs,41
1,101,1.0,subject103_client2,9,vacuum cleaning,2
1,101,1.0,subject103_client2,10,ironing,17
1,101,1.0,subject103_client2,11,rope jumping,0
1,101,1.0,subject103_client3,0,lying,28
1,101,1.0,subject103_client3,1,sitting,108
1,101,1.0,subject103_client3,2,standing,17
1,101,1.0,subject103_client3,3,walking,84
1,101,1.0,subject103_client3,4,running,0
1,101,1.0,subject103_client3,5,cycling,0
1,101,1.0,subject103_client3,6,Nordic walking,0
1,101,1.0,subject103_client3,7,ascending stairs,61
1,101,1.0,subject103_client3,8,descending stairs,18
1,101,1.0,subject103_client3,9,vacuum cleaning,22
1,101,1.0,subject103_client3,10,ironing,5
1,101,1.0,subject103_client3,11,rope jumping,0
1,101,1.0,subject104_client0,0,lying,15
1,101,1.0,subject104_client0,1,sitting,10
1,101,1.0,subject104_client0,2,standing,43
1,101,1.0,subject104_client0,3,walking,154
1,101,1.0,subject104_client0,4,running,0
1,101,1.0,subject104_client0,5,cycling,90
1,101,1.0,subject104_client0,6,Nordic walking,52
1,101,1.0,subject104_client0,7,ascending stairs,36
1,101,1.0,subject104_client0,8,descending stairs,0
1,101,1.0,subject104_client0,9,vacuum cleaning,36
1,101,1.0,subject104_client0,10,ironing,57
1,101,1.0,subject104_client0,11,rope jumping,0
1,101,1.0,subject104_client1,0,lying,9
1,101,1.0,subject104_client1,1,sitting,84
1,101,1.0,subject104_client1,2,standing,96
1,101,1.0,subject104_client1,3,walking,3
1,101,1.0,subject104_client1,4,running,0
1,101,1.0,subject104_client1,5,cycling,18
1,101,1.0,subject104_client1,6,Nordic walking,1
1,101,1.0,subject104_client1,7,ascending stairs,47
1,101,1.0,subject104_client1,8,descending stairs,58
1,101,1.0,subject104_client1,9,vacuum cleaning,8
1,101,1.0,subject104_client1,10,ironing,47
1,101,1.0,subject104_client1,11,rope jumping,0
1,101,1.0,subject104_client2,0,lying,108
1,101,1.0,subject104_client2,1,sitting,34
1,101,1.0,subject104_client2,2,standing,23
1,101,1.0,subject104_client2,3,walking,45
1,101,1.0,subject104_client2,4,running,0
1,101,1.0,subject104_client2,5,cycling,44
1,101,1.0,subject104_client2,6,Nordic walking,68
1,101,1.0,subject104_client2,7,ascending stairs,16
1,101,1.0,subject104_client2,8,descending stairs,9
1,101,1.0,subject104_client2,9,vacuum cleaning,102
1,101,1.0,subject104_client2,10,ironing,16
1,101,1.0,subject104_client2,11,rope jumping,0
1,101,1.0,subject104_client3,0,lying,44
1,101,1.0,subject104_client3,1,sitting,67
1,101,1.0,subject104_client3,2,standing,27
1,101,1.0,subject104_client3,3,walking,43
1,101,1.0,subject104_client3,4,running,0
1,101,1.0,subject104_client3,5,cycling,21
1,101,1.0,subject104_client3,6,Nordic walking,90
1,101,1.0,subject104_client3,7,ascending stairs,25
1,101,1.0,subject104_client3,8,descending stairs,40
1,101,1.0,subject104_client3,9,vacuum cleaning,6
1,101,1.0,subject104_client3,10,ironing,71
1,101,1.0,subject104_client3,11,rope jumping,0
1,101,1.0,subject105_client0,0,lying,106
1,101,1.0,subject105_client0,1,sitting,24
1,101,1.0,subject105_client0,2,standing,73
1,101,1.0,subject105_client0,3,walking,71
1,101,1.0,subject105_client0,4,running,22
1,101,1.0,subject105_client0,5,cycling,78
1,101,1.0,subject105_client0,6,Nordic walking,56
1,101,1.0,subject105_client0,7,ascending stairs,32
1,101,1.0,subject105_client0,8,descending stairs,13
1,101,1.0,subject105_client0,9,vacuum cleaning,75
1,101,1.0,subject105_client0,10,ironing,44
1,101,1.0,subject105_client0,11,rope jumping,3
1,101,1.0,subject105_client1,0,lying,11
1,101,1.0,subject105_client1,1,sitting,66
1,101,1.0,subject105_client1,2,standing,18
1,101,1.0,subject105_client1,3,walking,79
1,101,1.0,subject105_client1,4,running,70
1,101,1.0,subject105_client1,5,cycling,12
1,101,1.0,subject105_client1,6,Nordic walking,58
1,101,1.0,subject105_client1,7,ascending stairs,49
1,101,1.0,subject105_client1,8,descending stairs,24
1,101,1.0,subject105_client1,9,vacuum cleaning,49
1,101,1.0,subject105_client1,10,ironing,84
1,101,1.0,subject105_client1,11,rope jumping,3
1,101,1.0,subject105_client2,0,lying,1
1,101,1.0,subject105_client2,1,sitting,23
1,101,1.0,subject105_client2,2,standing,1
1,101,1.0,subject105_client2,3,walking,69
1,101,1.0,subject105_client2,4,running,59
1,101,1.0,subject105_client2,5,cycling,20
1,101,1.0,subject105_client2,6,Nordic walking,29
1,101,1.0,subject105_client2,7,ascending stairs,9
1,101,1.0,subject105_client2,8,descending stairs,52
1,101,1.0,subject105_client2,9,vacuum cleaning,43
1,101,1.0,subject105_client2,10,ironing,37
1,101,1.0,subject105_client2,11,rope jumping,39
1,101,1.0,subject105_client3,0,lying,63
1,101,1.0,subject105_client3,1,sitting,92
1,101,1.0,subject105_client3,2,standing,76
1,101,1.0,subject105_client3,3,walking,27
1,101,1.0,subject105_client3,4,running,37
1,101,1.0,subject105_client3,5,cycling,78
1,101,1.0,subject105_client3,6,Nordic walking,58
1,101,1.0,subject105_client3,7,ascending stairs,15
1,101,1.0,subject105_client3,8,descending stairs,4
1,101,1.0,subject105_client3,9,vacuum cleaning,19
1,101,1.0,subject105_client3,10,ironing,89
1,101,1.0,subject105_client3,11,rope jumping,11
1,101,1.0,subject106_client0,0,lying,45
1,101,1.0,subject106_client0,1,sitting,70
1,101,1.0,subject106_client0,2,standing,33
1,101,1.0,subject106_client0,3,walking,53
1,101,1.0,subject106_client0,4,running,57
1,101,1.0,subject106_client0,5,cycling,44
1,101,1.0,subject106_client0,6,Nordic walking,100
1,101,1.0,subject106_client0,7,ascending stairs,10
1,101,1.0,subject106_client0,8,descending stairs,1
1,101,1.0,subject106_client0,9,vacuum cleaning,38
1,101,1.0,subject106_client0,10,ironing,142
1,101,1.0,subject106_client0,11,rope jumping,0
1,101,1.0,subject106_client1,0,lying,67
1,101,1.0,subject106_client1,1,sitting,8
1,101,1.0,subject106_client1,2,standing,8
1,101,1.0,subject106_client1,3,walking,3
1,101,1.0,subject106_client1,4,running,57
1,101,1.0,subject106_client1,5,cycling,19
1,101,1.0,subject106_client1,6,Nordic walking,13
1,101,1.0,subject106_client1,7,ascending stairs,13
1,101,1.0,subject106_client1,8,descending stairs,31
1,101,1.0,subject106_client1,9,vacuum cleaning,22
1,101,1.0,subject106_client1,10,ironing,16
1,101,1.0,subject106_client1,11,rope jumping,0
1,101,1.0,subject106_client2,0,lying,64
1,101,1.0,subject106_client2,1,sitting,87
1,101,1.0,subject106_client2,2,standing,38
1,101,1.0,subject106_client2,3,walking,81
1,101,1.0,subject106_client2,4,running,11
1,101,1.0,subject106_client2,5,cycling,68
1,101,1.0,subject106_client2,6,Nordic walking,81
1,101,1.0,subject106_client2,7,ascending stairs,31
1,101,1.0,subject106_client2,8,descending stairs,3
1,101,1.0,subject106_client2,9,vacuum cleaning,92
1,101,1.0,subject106_client2,10,ironing,87
1,101,1.0,subject106_client2,11,rope jumping,1
1,101,1.0,subject106_client3,0,lying,2
1,101,1.0,subject106_client3,1,sitting,11
1,101,1.0,subject106_client3,2,standing,107
1,101,1.0,subject106_client3,3,walking,59
1,101,1.0,subject106_client3,4,running,49
1,101,1.0,subject106_client3,5,cycling,25
1,101,1.0,subject106_client3,6,Nordic walking,10
1,101,1.0,subject106_client3,7,ascending stairs,44
1,101,1.0,subject106_client3,8,descending stairs,47
1,101,1.0,subject106_client3,9,vacuum cleaning,8
1,101,1.0,subject106_client3,10,ironing,44
1,101,1.0,subject106_client3,11,rope jumping,0
1,101,1.0,subject107_client0,0,lying,5
1,101,1.0,subject107_client0,1,sitting,51
1,101,1.0,subject107_client0,2,standing,38
1,101,1.0,subject107_client0,3,walking,7
1,101,1.0,subject107_client0,4,running,4
1,101,1.0,subject107_client0,5,cycling,1
1,101,1.0,subject107_client0,6,Nordic walking,20
1,101,1.0,subject107_client0,7,ascending stairs,19
1,101,1.0,subject107_client0,8,descending stairs,62
1,101,1.0,subject107_client0,9,vacuum cleaning,0
1,101,1.0,subject107_client0,10,ironing,47
1,101,1.0,subject107_client0,11,rope jumping,0
1,101,1.0,subject107_client1,0,lying,56
1,101,1.0,subject107_client1,1,sitting,10
1,101,1.0,subject107_client1,2,standing,22
1,101,1.0,subject107_client1,3,walking,142
1,101,1.0,subject107_client1,4,running,8
1,101,1.0,subject107_client1,5,cycling,9
1,101,1.0,subject107_client1,6,Nordic walking,39
1,101,1.0,subject107_client1,7,ascending stairs,2
1,101,1.0,subject107_client1,8,descending stairs,1
1,101,1.0,subject107_client1,9,vacuum cleaning,35
1,101,1.0,subject107_client1,10,ironing,93
1,101,1.0,subject107_client1,11,rope jumping,0
1,101,1.0,subject107_client2,0,lying,4
1,101,1.0,subject107_client2,1,sitting,14
1,101,1.0,subject107_client2,2,standing,125
1,101,1.0,subject107_client2,3,walking,91
1,101,1.0,subject107_client2,4,running,7
1,101,1.0,subject107_client2,5,cycling,7
1,101,1.0,subject107_client2,6,Nordic walking,107
1,101,1.0,subject107_client2,7,ascending stairs,21
1,101,1.0,subject107_client2,8,descending stairs,9
1,101,1.0,subject107_client2,9,vacuum cleaning,43
1,101,1.0,subject107_client2,10,ironing,39
1,101,1.0,subject107_client2,11,rope jumping,0
1,101,1.0,subject107_client3,0,lying,131
1,101,1.0,subject107_client3,1,sitting,16
1,101,1.0,subject107_client3,2,standing,12
1,101,1.0,subject107_client3,3,walking,19
1,101,1.0,subject107_client3,4,running,5
1,101,1.0,subject107_client3,5,cycling,156
1,101,1.0,subject107_client3,6,Nordic walking,54
1,101,1.0,subject107_client3,7,ascending stairs,90
1,101,1.0,subject107_client3,8,descending stairs,13
1,101,1.0,subject107_client3,9,vacuum cleaning,87
1,101,1.0,subject107_client3,10,ironing,47
1,101,1.0,subject107_client3,11,rope jumping,0
1,101,1.0,subject108_client0,0,lying,14
1,101,1.0,subject108_client0,1,sitting,121
1,101,1.0,subject108_client0,2,standing,38
1,101,1.0,subject108_client0,3,walking,77
1,101,1.0,subject108_client0,4,running,15
1,101,1.0,subject108_client0,5,cycling,58
1,101,1.0,subject108_client0,6,Nordic walking,21
1,101,1.0,subject108_client0,7,ascending stairs,55
1,101,1.0,subject108_client0,8,descending stairs,13
1,101,1.0,subject108_client0,9,vacuum cleaning,54
1,101,1.0,subject108_client0,10,ironing,143
1,101,1.0,subject108_client0,11,rope jumping,47
1,101,1.0,subject108_client1,0,lying,46
1,101,1.0,subject108_client1,1,sitting,21
1,101,1.0,subject108_client1,2,standing,38
1,101,1.0,subject108_client1,3,walking,39
1,101,1.0,subject108_client1,4,running,85
1,101,1.0,subject108_client1,5,cycling,10
1,101,1.0,subject108_client1,6,Nordic walking,71
1,101,1.0,subject108_client1,7,ascending stairs,7
1,101,1.0,subject108_client1,8,descending stairs,7
1,101,1.0,subject108_client1,9,vacuum cleaning,23
1,101,1.0,subject108_client1,10,ironing,26
1,101,1.0,subject108_client1,11,rope jumping,2
1,101,1.0,subject108_client2,0,lying,83
1,101,1.0,subject108_client2,1,sitting,8
1,101,1.0,subject108_client2,2,standing,56
1,101,1.0,subject108_client2,3,walking,26
1,101,1.0,subject108_client2,4,running,6
1,101,1.0,subject108_client2,5,cycling,87
1,101,1.0,subject108_client2,6,Nordic walking,74
1,101,1.0,subject108_client2,7,ascending stairs,11
1,101,1.0,subject108_client2,8,descending stairs,20
1,101,1.0,subject108_client2,9,vacuum cleaning,18
1,101,1.0,subject108_client2,10,ironing,28
1,101,1.0,subject108_client2,11,rope jumping,1
1,101,1.0,subject108_client3,0,lying,41
1,101,1.0,subject108_client3,1,sitting,24
1,101,1.0,subject108_client3,2,standing,60
1,101,1.0,subject108_client3,3,walking,100
1,101,1.0,subject108_client3,4,running,19
1,101,1.0,subject108_client3,5,cycling,40
1,101,1.0,subject108_client3,6,Nordic walking,55
1,101,1.0,subject108_client3,7,ascending stairs,13
1,101,1.0,subject108_client3,8,descending stairs,29
1,101,1.0,subject108_client3,9,vacuum cleaning,90
1,101,1.0,subject108_client3,10,ironing,56
1,101,1.0,subject108_client3,11,rope jumping,14
1,101,0.1,subject102_client0,0,lying,0
1,101,0.1,subject102_client0,1,sitting,0
1,101,0.1,subject102_client0,2,standing,0
1,101,0.1,subject102_client0,3,walking,22
1,101,0.1,subject102_client0,4,running,0
1,101,0.1,subject102_client0,5,cycling,1
1,101,0.1,subject102_client0,6,Nordic walking,1
1,101,0.1,subject102_client0,7,ascending stairs,0
1,101,0.1,subject102_client0,8,descending stairs,0
1,101,0.1,subject102_client0,9,vacuum cleaning,0
1,101,0.1,subject102_client0,10,ironing,9
1,101,0.1,subject102_client0,11,rope jumping,98
1,101,0.1,subject102_client1,0,lying,0
1,101,0.1,subject102_client1,1,sitting,0
1,101,0.1,subject102_client1,2,standing,177
1,101,0.1,subject102_client1,3,walking,0
1,101,0.1,subject102_client1,4,running,4
1,101,0.1,subject102_client1,5,cycling,143
1,101,0.1,subject102_client1,6,Nordic walking,0
1,101,0.1,subject102_client1,7,ascending stairs,13
1,101,0.1,subject102_client1,8,descending stairs,115
1,101,0.1,subject102_client1,9,vacuum cleaning,157
1,101,0.1,subject102_client1,10,ironing,191
1,101,0.1,subject102_client1,11,rope jumping,0
1,101,0.1,subject102_client2,0,lying,154
1,101,0.1,subject102_client2,1,sitting,0
1,101,0.1,subject102_client2,2,standing,3
1,101,0.1,subject102_client2,3,walking,228
1,101,0.1,subject102_client2,4,running,0
1,101,0.1,subject102_client2,5,cycling,0
1,101,0.1,subject102_client2,6,Nordic walking,121
1,101,0.1,subject102_client2,7,ascending stairs,119
1,101,0.1,subject102_client2,8,descending stairs,0
1,101,0.1,subject102_client2,9,vacuum cleaning,2
1,101,0.1,subject102_client2,10,ironing,22
1,101,0.1,subject102_client2,11,rope jumping,3
1,101,0.1,subject102_client3,0,lying,27
1,101,0.1,subject102_client3,1,sitting,173
1,101,0.1,subject102_client3,2,standing,15
1,101,0.1,subject102_client3,3,walking,1
1,101,0.1,subject102_client3,4,running,66
1,101,0.1,subject102_client3,5,cycling,49
1,101,0.1,subject102_client3,6,Nordic walking,107
1,101,0.1,subject102_client3,7,ascending stairs,0
1,101,0.1,subject102_client3,8,descending stairs,0
1,101,0.1,subject102_client3,9,vacuum cleaning,0
1,101,0.1,subject102_client3,10,ironing,0
1,101,0.1,subject102_client3,11,rope jumping,0
1,101,0.1,subject103_client0,0,lying,0
1,101,0.1,subject103_client0,1,sitting,0
1,101,0.1,subject103_client0,2,standing,0
1,101,0.1,subject103_client0,3,walking,129
1,101,0.1,subject103_client0,4,running,0
1,101,0.1,subject103_client0,5,cycling,0
1,101,0.1,subject103_client0,6,Nordic walking,0
1,101,0.1,subject103_client0,7,ascending stairs,78
1,101,0.1,subject103_client0,8,descending stairs,0
1,101,0.1,subject103_client0,9,vacuum cleaning,131
1,101,0.1,subject103_client0,10,ironing,216
1,101,0.1,subject103_client0,11,rope jumping,0
1,101,0.1,subject103_client1,0,lying,0
1,101,0.1,subject103_client1,1,sitting,223
1,101,0.1,subject103_client1,2,standing,0
1,101,0.1,subject103_client1,3,walking,49
1,101,0.1,subject103_client1,4,running,0
1,101,0.1,subject103_client1,5,cycling,0
1,101,0.1,subject103_client1,6,Nordic walking,0
1,101,0.1,subject103_client1,7,ascending stairs,0
1,101,0.1,subject103_client1,8,descending stairs,0
1,101,0.1,subject103_client1,9,vacuum cleaning,23
1,101,0.1,subject103_client1,10,ironing,0
1,101,0.1,subject103_client1,11,rope jumping,0
1,101,0.1,subject103_client2,0,lying,171
1,101,0.1,subject103_client2,1,sitting,0
1,101,0.1,subject103_client2,2,standing,0
1,101,0.1,subject103_client2,3,walking,18
1,101,0.1,subject103_client2,4,running,0
1,101,0.1,subject103_client2,5,cycling,0
1,101,0.1,subject103_client2,6,Nordic walking,0
1,101,0.1,subject103_client2,7,ascending stairs,0
1,101,0.1,subject103_client2,8,descending stairs,36
1,101,0.1,subject103_client2,9,vacuum cleaning,1
1,101,0.1,subject103_client2,10,ironing,0
1,101,0.1,subject103_client2,11,rope jumping,0
1,101,0.1,subject103_client3,0,lying,0
1,101,0.1,subject103_client3,1,sitting,0
1,101,0.1,subject103_client3,2,standing,159
1,101,0.1,subject103_client3,3,walking,26
1,101,0.1,subject103_client3,4,running,0
1,101,0.1,subject103_client3,5,cycling,0
1,101,0.1,subject103_client3,6,Nordic walking,0
1,101,0.1,subject103_client3,7,ascending stairs,0
1,101,0.1,subject103_client3,8,descending stairs,77
1,101,0.1,subject103_client3,9,vacuum cleaning,0
1,101,0.1,subject103_client3,10,ironing,0
1,101,0.1,subject103_client3,11,rope jumping,0
1,101,0.1,subject104_client0,0,lying,162
1,101,0.1,subject104_client0,1,sitting,80
1,101,0.1,subject104_client0,2,standing,192
1,101,0.1,subject104_client0,3,walking,0
1,101,0.1,subject104_client0,4,running,0
1,101,0.1,subject104_client0,5,cycling,0
1,101,0.1,subject104_client0,6,Nordic walking,211
1,101,0.1,subject104_client0,7,ascending stairs,39
1,101,0.1,subject104_client0,8,descending stairs,0
1,101,0.1,subject104_client0,9,vacuum cleaning,0
1,101,0.1,subject104_client0,10,ironing,194
1,101,0.1,subject104_client0,11,rope jumping,0
1,101,0.1,subject104_client1,0,lying,16
1,101,0.1,subject104_client1,1,sitting,0
1,101,0.1,subject104_client1,2,standing,0
1,101,0.1,subject104_client1,3,walking,248
1,101,0.1,subject104_client1,4,running,0
1,101,0.1,subject104_client1,5,cycling,54
1,101,0.1,subject104_client1,6,Nordic walking,0
1,101,0.1,subject104_client1,7,ascending stairs,0
1,101,0.1,subject104_client1,8,descending stairs,96
1,101,0.1,subject104_client1,9,vacuum cleaning,1
1,101,0.1,subject104_client1,10,ironing,0
1,101,0.1,subject104_client1,11,rope jumping,0
1,101,0.1,subject104_client2,0,lying,0
1,101,0.1,subject104_client2,1,sitting,3
1,101,0.1,subject104_client2,2,standing,0
1,101,0.1,subject104_client2,3,walking,0
1,101,0.1,subject104_client2,4,running,0
1,101,0.1,subject104_client2,5,cycling,0
1,101,0.1,subject104_client2,6,Nordic walking,0
1,101,0.1,subject104_client2,7,ascending stairs,0
1,101,0.1,subject104_client2,8,descending stairs,12
1,101,0.1,subject104_client2,9,vacuum cleaning,153
1,101,0.1,subject104_client2,10,ironing,0
1,101,0.1,subject104_client2,11,rope jumping,0
1,101,0.1,subject104_client3,0,lying,0
1,101,0.1,subject104_client3,1,sitting,113
1,101,0.1,subject104_client3,2,standing,0
1,101,0.1,subject104_client3,3,walking,0
1,101,0.1,subject104_client3,4,running,0
1,101,0.1,subject104_client3,5,cycling,121
1,101,0.1,subject104_client3,6,Nordic walking,2
1,101,0.1,subject104_client3,7,ascending stairs,87
1,101,0.1,subject104_client3,8,descending stairs,0
1,101,0.1,subject104_client3,9,vacuum cleaning,0
1,101,0.1,subject104_client3,10,ironing,0
1,101,0.1,subject104_client3,11,rope jumping,0
1,101,0.1,subject105_client0,0,lying,0
1,101,0.1,subject105_client0,1,sitting,141
1,101,0.1,subject105_client0,2,standing,0
1,101,0.1,subject105_client0,3,walking,88
1,101,0.1,subject105_client0,4,running,0
1,101,0.1,subject105_client0,5,cycling,0
1,101,0.1,subject105_client0,6,Nordic walking,132
1,101,0.1,subject105_client0,7,ascending stairs,0
1,101,0.1,subject105_client0,8,descending stairs,0
1,101,0.1,subject105_client0,9,vacuum cleaning,0
1,101,0.1,subject105_client0,10,ironing,6
1,101,0.1,subject105_client0,11,rope jumping,0
1,101,0.1,subject105_client1,0,lying,0
1,101,0.1,subject105_client1,1,sitting,0
1,101,0.1,subject105_client1,2,standing,0
1,101,0.1,subject105_client1,3,walking,2
1,101,0.1,subject105_client1,4,running,160
1,101,0.1,subject105_client1,5,cycling,0
1,101,0.1,subject105_client1,6,Nordic walking,14
1,101,0.1,subject105_client1,7,ascending stairs,0
1,101,0.1,subject105_client1,8,descending stairs,3
1,101,0.1,subject105_client1,9,vacuum cleaning,0
1,101,0.1,subject105_client1,10,ironing,245
1,101,0.1,subject105_client1,11,rope jumping,0
1,101,0.1,subject105_client2,0,lying,184
1,101,0.1,subject105_client2,1,sitting,66
1,101,0.1,subject105_client2,2,standing,4
1,101,0.1,subject105_client2,3,walking,157
1,101,0.1,subject105_client2,4,running,27
1,101,0.1,subject105_client2,5,cycling,188
1,101,0.1,subject105_client2,6,Nordic walking,0
1,101,0.1,subject105_client2,7,ascending stairs,5
1,101,0.1,subject105_client2,8,descending stairs,0
1,101,0.1,subject105_client2,9,vacuum cleaning,188
1,101,0.1,subject105_client2,10,ironing,1
1,101,0.1,subject105_client2,11,rope jumping,45
1,101,0.1,subject105_client3,0,lying,0
1,101,0.1,subject105_client3,1,sitting,0
1,101,0.1,subject105_client3,2,standing,166
1,101,0.1,subject105_client3,3,walking,0
1,101,0.1,subject105_client3,4,running,1
1,101,0.1,subject105_client3,5,cycling,2
1,101,0.1,subject105_client3,6,Nordic walking,56
1,101,0.1,subject105_client3,7,ascending stairs,102
1,101,0.1,subject105_client3,8,descending stairs,92
1,101,0.1,subject105_client3,9,vacuum cleaning,0
1,101,0.1,subject105_client3,10,ironing,2
1,101,0.1,subject105_client3,11,rope jumping,13
1,101,0.1,subject106_client0,0,lying,168
1,101,0.1,subject106_client0,1,sitting,0
1,101,0.1,subject106_client0,2,standing,0
1,101,0.1,subject106_client0,3,walking,0
1,101,0.1,subject106_client0,4,running,0
1,101,0.1,subject106_client0,5,cycling,0
1,101,0.1,subject106_client0,6,Nordic walking,207
1,101,0.1,subject106_client0,7,ascending stairs,7
1,101,0.1,subject106_client0,8,descending stairs,0
1,101,0.1,subject106_client0,9,vacuum cleaning,0
1,101,0.1,subject106_client0,10,ironing,0
1,101,0.1,subject106_client0,11,rope jumping,0
1,101,0.1,subject106_client1,0,lying,0
1,101,0.1,subject106_client1,1,sitting,0
1,101,0.1,subject106_client1,2,standing,1
1,101,0.1,subject106_client1,3,walking,0
1,101,0.1,subject106_client1,4,running,5
1,101,0.1,subject106_client1,5,cycling,159
1,101,0.1,subject106_client1,6,Nordic walking,0
1,101,0.1,subject106_client1,7,ascending stairs,11
1,101,0.1,subject106_client1,8,descending stairs,0
1,101,0.1,subject106_client1,9,vacuum cleaning,0
1,101,0.1,subject106_client1,10,ironing,0
1,101,0.1,subject106_client1,11,rope jumping,0
1,101,0.1,subject106_client2,0,lying,12
1,101,0.1,subject106_client2,1,sitting,6
1,101,0.1,subject106_client2,2,standing,187
1,101,0.1,subject106_client2,3,walking,0
1,101,0.1,subject106_client2,4,running,171
1,101,0.1,subject106_client2,5,cycling,0
1,101,0.1,subject106_client2,6,Nordic walking,0
1,101,0.1,subject106_client2,7,ascending stairs,0
1,101,0.1,subject106_client2,8,descending stairs,85
1,101,0.1,subject106_client2,9,vacuum cleaning,0
1,101,0.1,subject106_client2,10,ironing,0
1,101,0.1,subject106_client2,11,rope jumping,0
1,101,0.1,subject106_client3,0,lying,0
1,101,0.1,subject106_client3,1,sitting,172
1,101,0.1,subject106_client3,2,standing,0
1,101,0.1,subject106_client3,3,walking,199
1,101,0.1,subject106_client3,4,running,0
1,101,0.1,subject106_client3,5,cycling,0
1,101,0.1,subject106_client3,6,Nordic walking,0
1,101,0.1,subject106_client3,7,ascending stairs,81
1,101,0.1,subject106_client3,8,descending stairs,0
1,101,0.1,subject106_client3,9,vacuum cleaning,163
1,101,0.1,subject106_client3,10,ironing,292
1,101,0.1,subject106_client3,11,rope jumping,1
1,101,0.1,subject107_client0,0,lying,0
1,101,0.1,subject107_client0,1,sitting,0
1,101,0.1,subject107_client0,2,standing,0
1,101,0.1,subject107_client0,3,walking,0
1,101,0.1,subject107_client0,4,running,0
1,101,0.1,subject107_client0,5,cycling,0
1,101,0.1,subject107_client0,6,Nordic walking,82
1,101,0.1,subject107_client0,7,ascending stairs,133
